"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring 's-Hertogenbosch"
"Nummer";;"HSB18"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Asten";"Best";"Boekel";"Boxtel";"Deurne";"Eersel";"Eindhoven";"Helmond";"'s-Hertogenbosch";"Heusden";"Nuenen, Gerwen en Nederwetten";"Oirschot";"Oss";"Sint-Michielsgestel";"Someren";"Son en Breugel";"Valkenswaard";"Veldhoven";"Vught";"Waalre";"Gemert-Bakel";"Heeze-Leende";"Laarbeek";"Reusel-De Mierden";"Cranendonck";"Bernheze";"Bergeijk";"Bladel";"Geldrop-Mierlo";"Meierijstad";"Land van Cuijk";"Maashorst"
;;"16";"Jones, M.G.";"31";"0";"2";"0";"0";"1";"0";"9";"3";"5";"0";"0";"0";"4";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"3"
;;"17";"Bosma, J.";"56";"1";"1";"0";"2";"0";"0";"14";"0";"10";"1";"2";"0";"3";"3";"1";"0";"0";"1";"2";"1";"0";"1";"0";"0";"0";"3";"0";"0";"5";"2";"1";"2"
;;"18";"Barker, R.N.";"6";"0";"2";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0"
;;"19";"van Wijlandt, K.";"6";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0"
;;"20";"Batteau, J.M.";"10";"0";"0";"0";"0";"0";"0";"2";"0";"3";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"21";"Hollebeek, J.P.";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"1"
;;"22";"Dicke, I.M.";"24";"0";"0";"0";"0";"0";"0";"9";"1";"5";"1";"1";"0";"0";"1";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1"
;;"23";"Salemans, B.R.";"48";"0";"2";"1";"1";"0";"0";"5";"0";"2";"0";"0";"0";"7";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"3";"21";"1"
;;"24";"Bersch, F.";"9";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0"
;;"25";"de Gram, F.";"19";"0";"0";"0";"0";"0";"0";"3";"0";"3";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"9";"0"
;;"26";"Krediet, L.";"15";"0";"1";"1";"0";"0";"0";"4";"0";"2";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1"
;;"27";"de Vos, D.J.C.";"32";"0";"2";"0";"2";"0";"0";"8";"2";"5";"0";"1";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"3";"1"
;;"28";"van der Velde, M.C.";"17";"0";"0";"0";"0";"0";"0";"5";"0";"4";"0";"1";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"1"
;;"29";"van Viegen, A.H.K.";"12";"0";"0";"0";"0";"0";"0";"2";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"2";"0";"0"
;;"30";"Gerritsen, L.";"21";"0";"0";"0";"0";"0";"0";"1";"3";"2";"1";"0";"0";"2";"0";"2";"0";"1";"1";"0";"1";"0";"0";"0";"0";"1";"0";"2";"0";"0";"1";"3";"0"
;;"31";"Veenstra, M.";"15";"0";"1";"0";"0";"1";"0";"1";"1";"2";"1";"0";"0";"2";"1";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1"
;;"32";"Vlasveld, A.I.";"193";"1";"6";"2";"4";"3";"4";"49";"4";"15";"7";"8";"6";"5";"4";"7";"1";"3";"10";"6";"3";"5";"4";"1";"7";"3";"0";"4";"7";"2";"6";"3";"3"
;;"33";"Janssens, T.A.O.";"16";"0";"0";"0";"0";"0";"0";"3";"1";"2";"0";"0";"0";"2";"0";"0";"1";"0";"2";"0";"0";"1";"0";"1";"1";"0";"1";"0";"1";"0";"0";"0";"0"
;;"34";"Coşkun, Z.P.";"29";"0";"1";"0";"0";"0";"0";"11";"2";"7";"0";"0";"0";"1";"0";"0";"0";"0";"1";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0"
;;"35";"van der Pluijm, L.C.";"8";"0";"0";"0";"0";"0";"0";"1";"0";"2";"2";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"36";"Peeks, S.J.";"4";"0";"0";"0";"0";"0";"0";"3";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"37";"Pallandt, C.M.J.";"52";"0";"1";"0";"2";"0";"4";"12";"3";"5";"1";"0";"1";"2";"0";"1";"2";"0";"1";"0";"1";"0";"1";"1";"0";"0";"0";"0";"1";"4";"3";"4";"2"
;;"38";"Pechler, W.I.";"6";"0";"0";"0";"0";"0";"0";"4";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"39";"van Lierop, J.";"43";"0";"1";"1";"0";"4";"1";"11";"2";"1";"0";"0";"0";"0";"0";"1";"2";"0";"7";"0";"0";"2";"0";"1";"2";"0";"0";"0";"0";"2";"3";"1";"1"
;;"40";"Spruit, V.";"15";"2";"0";"0";"0";"1";"0";"4";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"2"
;;"41";"Kuijer, B.";"5";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0"
;;"42";"Markandu, G.";"35";"1";"1";"0";"0";"0";"0";"7";"2";"2";"0";"0";"1";"1";"0";"1";"1";"0";"0";"0";"3";"1";"0";"0";"2";"0";"0";"0";"0";"2";"0";"7";"3"
;;"43";"Oudshoorn, J.";"7";"0";"0";"0";"3";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"44";"Hanoeman, R.R.";"13";"0";"1";"0";"0";"0";"0";"4";"1";"3";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0"
;;"45";"Samshuijzen, E.";"355";"1";"4";"2";"10";"0";"3";"29";"4";"180";"17";"1";"0";"23";"14";"1";"4";"3";"5";"10";"2";"6";"3";"2";"0";"1";"6";"1";"0";"3";"14";"3";"3"
;;"46";"Brouwer, M.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"47";"Onderdelinden, S.E.";"10";"0";"0";"0";"0";"0";"0";"4";"1";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"48";"Rozema, J.G.";"4";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0"
;;"49";"van de Peppel, S.";"15";"0";"0";"1";"0";"0";"0";"3";"1";"5";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"50";"Minnaert, X.D.E.";"73";"0";"0";"0";"5";"3";"0";"26";"4";"9";"0";"0";"0";"4";"0";"1";"0";"3";"2";"5";"1";"0";"0";"1";"0";"2";"1";"0";"1";"1";"1";"2";"1"
"9";"ChristenUnie";;;"3907";"17";"254";"13";"62";"57";"31";"956";"181";"430";"178";"99";"43";"161";"78";"30";"84";"62";"204";"96";"69";"39";"55";"31";"15";"28";"47";"29";"29";"130";"130";"173";"96"
;;"1";"Bikker, M.H.";"3013";"11";"213";"12";"47";"49";"24";"643";"136";"324";"145";"78";"36";"127";"66";"24";"69";"50";"159";"80";"58";"33";"44";"26";"15";"23";"38";"29";"19";"110";"100";"144";"81"
;;"2";"Grinwis, P.A.";"55";"1";"3";"0";"1";"2";"3";"13";"1";"8";"2";"0";"1";"1";"1";"1";"3";"1";"0";"0";"2";"2";"0";"0";"0";"1";"1";"0";"0";"4";"1";"0";"2"
;;"3";"Ceder, D.G.M.";"145";"1";"11";"0";"4";"1";"1";"44";"12";"22";"5";"3";"0";"8";"1";"1";"1";"0";"4";"3";"0";"0";"2";"2";"0";"0";"1";"0";"6";"0";"6";"4";"2"
;;"4";"te Rietstap, A.H.";"15";"0";"0";"0";"1";"0";"0";"5";"1";"1";"0";"1";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0"
;;"5";"Gooijer-Medema, J.K.";"80";"0";"7";"0";"0";"0";"1";"30";"2";"12";"0";"2";"0";"5";"1";"1";"0";"2";"5";"0";"2";"0";"1";"0";"0";"2";"0";"0";"1";"1";"3";"1";"1"
;;"6";"Drost, N.";"27";"1";"1";"0";"1";"1";"0";"8";"2";"2";"0";"1";"0";"0";"1";"0";"2";"1";"2";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"7";"Holtman, T.S.";"8";"0";"1";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"8";"Otter-van den Bosch, C.";"17";"0";"0";"0";"0";"1";"0";"5";"2";"1";"2";"0";"0";"1";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0"
;;"9";"van der Graaf, S.J.F.";"81";"0";"4";"0";"0";"1";"1";"30";"6";"5";"5";"1";"1";"2";"1";"0";"1";"2";"5";"0";"2";"2";"1";"0";"0";"0";"0";"0";"0";"6";"1";"2";"2"
;;"10";"Klein, M.C.A.";"14";"0";"0";"0";"0";"0";"0";"9";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0"
;;"11";"Niesink, C.C.M.";"6";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0"
;;"12";"Setz, J.N.";"6";"0";"0";"0";"0";"0";"0";"3";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"13";"van der Krift, H.J.C.";"226";"1";"7";"0";"3";"0";"0";"116";"9";"4";"3";"9";"2";"6";"3";"0";"4";"4";"20";"5";"1";"2";"6";"1";"0";"0";"2";"0";"1";"4";"6";"3";"4"
;;"14";"Langen, A.L.";"14";"0";"0";"0";"0";"0";"0";"2";"4";"4";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0"
;;"15";"Koppejan, E.J.A.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0"
;;"16";"van Wageningen, E.";"4";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0"
;;"17";"Tijhof, B.D.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"18";"de Reus, W.T.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"19";"Mbwete, N.A.G.";"13";"0";"0";"0";"1";"0";"0";"2";"0";"8";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"20";"Treurniet, M.";"7";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0"
;;"21";"Palland, A.S.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"22";"Westerbeek, A.E.";"4";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"23";"Muilwijk, I.";"4";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0"
;;"24";"Westerink-Petersen, J.";"4";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"25";"Dijkstra-Verbeek, I.A.W.";"11";"1";"0";"0";"1";"0";"0";"2";"1";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"26";"van den Berg, G.";"8";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1"
;;"27";"Broekmaat-Hagens, A.W.";"3";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"28";"de Haan, M.E.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"29";"Koerts, A.J.";"5";"0";"0";"0";"0";"0";"0";"3";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"30";"Roor-Wubs, A.E.";"3";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"31";"Verweij, J.P.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"32";"Paalman-Dijkenga, I.M.";"2";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"33";"Kumar, A.D.J.M.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"34";"Kerklaan-van der Beek, E.M.";"3";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"35";"Visser, J.A.";"4";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"36";"van der Pol, L.A.";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"37";"Oudman, A.G.";"4";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
;;"38";"van der Zande, J.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"39";"Grandia, G.C.";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0"
;;"40";"van Oordt-Jonckheere, S.";"4";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"41";"Cornelissen, B.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"42";"Nede, N.N.";"5";"0";"0";"0";"0";"0";"0";"3";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"43";"Schutte, J.W.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"44";"van Dijk, G.G.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"45";"Adema, P.";"6";"0";"1";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1"
;;"46";"Bosman, F.G.";"21";"0";"0";"0";"0";"0";"0";"0";"0";"7";"6";"0";"0";"4";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0"
;;"47";"Hoogenboom, E.";"9";"0";"0";"0";"0";"0";"0";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1"
;;"48";"Stoorvogel, H.";"15";"0";"2";"0";"0";"0";"0";"3";"1";"3";"0";"0";"0";"0";"0";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0"
;;"49";"van den Berg, R.C.";"8";"0";"0";"0";"1";"0";"0";"4";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"50";"de Graaf, B.A.";"37";"0";"3";"0";"0";"1";"1";"10";"0";"4";"4";"1";"1";"2";"0";"0";"0";"1";"3";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0"
"10";"Volt";;;"15061";"137";"287";"54";"287";"179";"317";"3925";"615";"2295";"290";"342";"155";"596";"275";"111";"220";"283";"535";"446";"313";"165";"196";"201";"92";"100";"204";"163";"186";"386";"652";"652";"402"
;;"1";"Dassen, L.A.J.M.";"9185";"83";"180";"39";"186";"117";"253";"2197";"391";"1175";"178";"229";"118";"363";"161";"77";"137";"196";"367";"286";"200";"109";"129";"119";"61";"69";"125";"118";"139";"251";"428";"443";"261"
;;"2";"Koekkoek, M.";"2499";"24";"52";"7";"39";"30";"36";"633";"103";"453";"46";"64";"16";"116";"56";"14";"46";"35";"53";"64";"40";"22";"35";"41";"18";"13";"43";"30";"26";"53";"109";"121";"61"
;;"3";"Boutkan, E.";"108";"0";"2";"0";"2";"1";"0";"34";"3";"17";"1";"3";"0";"4";"0";"0";"1";"0";"9";"3";"7";"1";"2";"3";"0";"0";"1";"0";"1";"5";"4";"2";"2"
;;"4";"Elfilali, I.";"457";"7";"3";"2";"11";"4";"5";"152";"17";"92";"6";"8";"3";"25";"4";"3";"4";"4";"12";"17";"11";"2";"7";"3";"1";"1";"7";"2";"2";"5";"14";"13";"10"
;;"5";"Hagoort, M.B.J.";"36";"1";"3";"0";"4";"0";"0";"8";"0";"7";"1";"2";"0";"0";"0";"0";"0";"1";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"4";"1";"0";"0"
;;"6";"Frijters, R.M.J.";"620";"7";"9";"2";"10";"6";"4";"202";"27";"95";"14";"9";"4";"19";"6";"5";"8";"22";"26";"11";"16";"10";"7";"8";"3";"7";"6";"3";"7";"11";"17";"23";"16"
;;"7";"de Boer, R.W.";"28";"0";"1";"0";"0";"0";"0";"9";"1";"2";"0";"0";"0";"1";"0";"0";"0";"1";"4";"2";"1";"0";"0";"1";"0";"0";"0";"1";"1";"1";"0";"1";"1"
;;"8";"van der Lugt, S.";"229";"1";"4";"2";"5";"2";"1";"71";"7";"58";"5";"1";"3";"7";"7";"1";"3";"5";"4";"7";"4";"5";"1";"2";"0";"1";"4";"1";"0";"4";"2";"4";"7"
;;"9";"Beijnon, B.";"552";"2";"4";"1";"8";"1";"2";"61";"5";"264";"20";"2";"3";"28";"24";"1";"1";"2";"5";"32";"2";"1";"4";"4";"3";"1";"12";"1";"0";"8";"28";"11";"11"
;;"10";"Twickler, R.";"132";"0";"3";"0";"2";"3";"0";"54";"4";"23";"1";"1";"1";"2";"2";"0";"2";"0";"2";"3";"4";"1";"2";"2";"0";"0";"0";"0";"1";"6";"3";"6";"4"
;;"11";"Ercan, C.";"20";"0";"1";"0";"0";"0";"2";"5";"1";"3";"1";"0";"0";"2";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0"
;;"12";"Hamel, J.E.R.";"36";"1";"0";"0";"1";"0";"0";"14";"1";"7";"2";"1";"0";"1";"0";"0";"1";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"2";"0";"1"
;;"13";"van Ewijk, W.H.E.";"142";"0";"3";"0";"4";"0";"0";"9";"2";"50";"7";"1";"2";"13";"9";"0";"0";"3";"2";"6";"2";"1";"2";"0";"1";"0";"2";"0";"0";"1";"8";"7";"7"
;;"14";"van Laar, S.A.";"56";"0";"1";"0";"0";"0";"2";"15";"2";"14";"1";"1";"1";"3";"2";"1";"1";"1";"2";"1";"2";"1";"0";"1";"0";"0";"0";"0";"0";"2";"1";"0";"1"
;;"15";"Tai, M.T.";"10";"0";"0";"0";"0";"0";"0";"5";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0"
;;"16";"Pajak, V.L.";"821";"11";"17";"1";"11";"13";"12";"420";"41";"19";"5";"19";"4";"7";"3";"8";"14";"12";"41";"2";"21";"8";"6";"15";"5";"5";"4";"7";"8";"30";"27";"11";"14"
;;"17";"Eigenhuis, F.";"18";"0";"1";"0";"2";"1";"0";"3";"2";"2";"0";"0";"0";"2";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0"
;;"18";"Verbeek, E.L.I.";"35";"0";"0";"0";"0";"1";"0";"8";"2";"3";"0";"1";"0";"0";"0";"1";"1";"1";"1";"6";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3";"2";"3"
;;"19";"Hemmes, B.J.A.";"8";"0";"0";"0";"1";"0";"0";"3";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"20";"Elsinga, D.";"40";"0";"0";"0";"0";"0";"0";"13";"3";"6";"2";"0";"0";"1";"1";"0";"0";"0";"1";"2";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"4";"3";"1"
;;"21";"Dreteler, S.J.";"29";"0";"3";"0";"1";"0";"0";"9";"2";"2";"0";"0";"0";"1";"0";"0";"1";"0";"1";"1";"0";"1";"0";"1";"0";"1";"0";"0";"1";"1";"0";"1";"2"
"11";"JA21";;;"6078";"68";"127";"74";"154";"200";"109";"649";"324";"597";"251";"84";"106";"381";"127";"87";"77";"134";"181";"103";"69";"152";"77";"90";"64";"139";"171";"107";"129";"178";"366";"444";"259"
;;"1";"Eerdmans, B.J.";"4747";"49";"101";"57";"122";"158";"93";"494";"248";"478";"198";"60";"84";"300";"100";"64";"68";"101";"142";"79";"42";"118";"66";"73";"55";"101";"143";"83";"105";"136";"285";"339";"205"
;;"2";"Nanninga, A.";"763";"7";"17";"12";"20";"23";"8";"102";"46";"94";"37";"9";"13";"49";"17";"12";"2";"16";"22";"16";"19";"19";"6";"8";"3";"12";"19";"13";"13";"20";"40";"41";"28"
;;"3";"Ceulemans, S.";"19";"1";"0";"1";"0";"0";"1";"4";"1";"3";"0";"1";"0";"2";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0"
;;"4";"Bakker-Derks, E.H.M.";"143";"2";"2";"2";"1";"7";"0";"2";"3";"3";"4";"5";"2";"11";"3";"1";"3";"1";"0";"2";"1";"6";"1";"1";"1";"6";"3";"1";"0";"1";"16";"44";"8"
;;"5";"van Doorn, D.M.A.";"13";"0";"0";"0";"1";"0";"1";"3";"1";"1";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0"
;;"6";"Goudzwaard, M.";"16";"0";"0";"0";"1";"1";"0";"1";"1";"3";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"2"
;;"7";"Schyns, P.F.M.";"27";"1";"0";"0";"0";"3";"0";"3";"4";"3";"1";"2";"1";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"2";"1";"1"
