"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Amsterdam"
"Nummer";;"HSB9"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Amsterdam"
;;"2";"Koekkoek, M.";"3431";"3431"
;;"3";"Boutkan, E.";"116";"116"
;;"4";"Elfilali, I.";"1538";"1538"
;;"5";"Hagoort, M.B.J.";"62";"62"
;;"6";"Frijters, R.M.J.";"633";"633"
;;"7";"de Boer, R.W.";"481";"481"
;;"8";"van der Lugt, S.";"520";"520"
;;"9";"Beijnon, B.";"63";"63"
;;"10";"Twickler, R.";"149";"149"
;;"11";"Ercan, C.";"30";"30"
;;"12";"Hamel, J.E.R.";"92";"92"
;;"13";"van Ewijk, W.H.E.";"13";"13"
;;"14";"van Laar, S.A.";"92";"92"
;;"15";"Tai, M.T.";"28";"28"
;;"16";"Pajak, V.L.";"60";"60"
;;"17";"Eigenhuis, F.";"24";"24"
;;"18";"Verbeek, E.L.I.";"575";"575"
;;"19";"Hemmes, B.J.A.";"21";"21"
;;"20";"Elsinga, D.";"66";"66"
