"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Assen"
"Nummer";;"HSB3"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Assen";"Coevorden";"Emmen";"Hoogeveen";"Meppel";"Aa en Hunze";"Borger-Odoorn";"De Wolden";"Noordenveld";"Westerveld";"Tynaarlo";"Midden-Drenthe"
;;"65";"Nooitmeer, L.I.";"7";"0";"2";"0";"0";"2";"0";"1";"0";"0";"0";"2";"0"
;;"66";"van Essen, J.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"67";"Nunnely, J.M.";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"68";"Türkkol, N.";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"69";"van der Voort, P.H.J.";"2";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"70";"Hendrickx, M.T.M.";"2";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0"
;;"71";"Gräper-van Koolwijk, F.Q.";"66";"20";"1";"5";"2";"2";"4";"4";"0";"6";"2";"14";"6"
;;"72";"Weerwind, F.M.";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"73";"van Huffelen, A.C.";"2";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0"
;;"74";"Kuipers, E.J.";"12";"2";"0";"1";"0";"5";"0";"1";"0";"1";"1";"1";"0"
;;"75";"Ollongren, K.H.";"16";"5";"1";"3";"1";"1";"0";"0";"1";"0";"1";"2";"1"
;;"76";"Dijkgraaf, R.H.";"34";"7";"2";"4";"4";"5";"2";"0";"1";"3";"2";"2";"2"
;;"77";"Uslu, G.";"5";"1";"0";"1";"0";"1";"0";"0";"1";"1";"0";"0";"0"
;;"78";"Pechtold, A.";"23";"6";"2";"1";"1";"1";"1";"1";"5";"1";"1";"2";"1"
;;"79";"Terlouw, J.C.";"18";"2";"1";"0";"0";"4";"2";"2";"1";"1";"0";"4";"1"
;;"80";"Kaag, S.A.M.";"78";"6";"4";"6";"3";"11";"5";"3";"5";"7";"2";"16";"10"
"3";"GROENLINKS / Partij van de Arbeid (PvdA)";;;"45405";"7526";"2575";"7240";"2919";"3259";"3207";"2156";"1844";"4153";"2384";"5128";"3014"
;;"1";"Timmermans, F.C.G.M.";"23623";"3456";"1448";"4470";"1570";"1648";"1696";"1240";"968";"1863";"1282";"2332";"1650"
;;"2";"Lahlah, A.";"3828";"706";"178";"394";"217";"365";"266";"161";"174";"379";"237";"512";"239"
;;"3";"Klaver, J.F.";"3961";"688";"224";"588";"246";"350";"262";"171";"188";"349";"214";"457";"224"
;;"4";"Piri, K.P.";"889";"154";"49";"112";"49";"57";"54";"38";"37";"97";"61";"133";"48"
;;"5";"Westerveld, E.M.";"2549";"426";"141";"325";"176";"269";"153";"95";"128";"193";"188";"288";"167"
;;"6";"Patijn, M.H.";"179";"27";"8";"31";"12";"12";"9";"7";"13";"14";"12";"28";"6"
;;"7";"Kröger, S.C.";"228";"41";"7";"37";"14";"21";"19";"12";"4";"21";"13";"27";"12"
;;"8";"Bushoff, T.J.";"2170";"302";"48";"204";"51";"36";"185";"102";"29";"640";"36";"420";"117"
;;"9";"van der Lee, T.M.T.";"99";"16";"5";"12";"9";"6";"8";"0";"1";"6";"4";"23";"9"
;;"10";"Mutluer, S.";"49";"18";"7";"10";"1";"5";"0";"0";"0";"1";"3";"3";"1"
;;"11";"Bromet, L.";"349";"48";"13";"39";"14";"30";"33";"17";"28";"36";"38";"40";"13"
;;"12";"de Hoop, H.E.";"323";"56";"20";"47";"22";"28";"19";"8";"6";"43";"23";"38";"13"
;;"13";"Maatoug, S.";"69";"13";"1";"8";"5";"10";"6";"3";"1";"5";"0";"11";"6"
;;"14";"Mohandis, M.";"38";"8";"0";"12";"4";"6";"1";"3";"0";"1";"0";"0";"3"
;;"15";"Gabriëls, G.J.W.";"33";"6";"1";"5";"2";"1";"3";"2";"1";"3";"2";"6";"1"
;;"16";"Thijssen, J.";"44";"5";"16";"3";"1";"5";"0";"0";"2";"3";"1";"4";"4"
;;"17";"Bouchallikh, K.";"96";"22";"3";"17";"8";"14";"4";"4";"5";"5";"2";"9";"3"
;;"18";"Kathmann, B.C.";"75";"6";"3";"8";"7";"13";"6";"5";"3";"4";"9";"3";"8"
;;"19";"Slagt-Tichelman, E.";"3808";"1169";"152";"507";"112";"140";"334";"179";"108";"252";"142";"388";"325"
;;"20";"Tseggai, M.";"71";"10";"3";"20";"1";"3";"6";"2";"3";"4";"3";"10";"6"
;;"21";"White, R.J.";"23";"3";"3";"5";"1";"2";"1";"1";"0";"3";"1";"3";"0"
;;"22";"Pijpelink, A.";"49";"6";"1";"9";"5";"3";"6";"1";"3";"7";"2";"3";"3"
;;"23";"Chakor, G.";"779";"124";"24";"53";"22";"26";"58";"32";"21";"147";"18";"232";"22"
;;"24";"Nordkamp, J.";"15";"1";"1";"4";"1";"0";"0";"2";"1";"1";"0";"4";"0"
;;"25";"Stultiens, L.C.J.";"15";"1";"0";"2";"0";"2";"0";"2";"2";"2";"1";"3";"0"
;;"26";"Haage, M.W.";"83";"14";"6";"9";"9";"11";"5";"2";"5";"3";"2";"13";"4"
;;"27";"Hirsch, D.H.";"123";"24";"6";"11";"7";"14";"5";"1";"6";"12";"7";"17";"13"
;;"28";"de Jong, H.A.";"12";"1";"1";"2";"0";"0";"0";"1";"0";"0";"1";"6";"0"
;;"29";"Postma, J.P.";"25";"1";"1";"4";"0";"1";"0";"0";"0";"1";"10";"6";"1"
;;"30";"Oosting, I.";"1228";"87";"175";"193";"299";"88";"40";"46";"78";"34";"52";"53";"83"
;;"31";"de Boer, M.M.";"39";"7";"1";"8";"3";"1";"3";"2";"0";"4";"3";"5";"2"
;;"32";"Daenen, J.W.B.";"5";"1";"0";"0";"0";"1";"2";"0";"0";"0";"1";"0";"0"
;;"33";"Ranshuijsen, A.B.";"47";"15";"3";"3";"0";"3";"3";"0";"2";"2";"4";"11";"1"
;;"34";"Köseoglu, E.";"25";"9";"2";"2";"1";"1";"2";"0";"2";"1";"0";"1";"4"
;;"35";"van Roemburg, E.T.W.";"11";"1";"0";"3";"1";"2";"0";"1";"0";"0";"0";"1";"2"
;;"36";"Nessar, A.";"16";"1";"0";"7";"2";"2";"0";"0";"0";"1";"0";"3";"0"
;;"37";"Muns, L.";"6";"3";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0"
;;"38";"Vrolijks, I.L.";"73";"9";"4";"10";"10";"13";"4";"1";"5";"3";"2";"7";"5"
;;"39";"Smits, P.L.";"10";"2";"1";"3";"0";"4";"0";"0";"0";"0";"0";"0";"0"
;;"40";"Nabih, M.";"12";"3";"0";"3";"3";"1";"0";"0";"0";"0";"0";"2";"0"
;;"41";"Rietveld, M.D.";"3";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"42";"Torunoglu, Y.";"3";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0"
;;"43";"de Bruijn, E.";"31";"5";"2";"5";"5";"4";"2";"1";"3";"0";"0";"2";"2"
