"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Nijmegen"
"Nummer";;"HSB6"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Beuningen";"Buren";"Culemborg";"Druten";"Heumen";"Maasdriel";"Nijmegen";"Tiel";"Wijchen";"Zaltbommel";"West Maas en Waal";"Neder-Betuwe";"Berg en Dal";"West Betuwe"
;;"58";"Schoonen, M.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
;;"59";"Pi Van de Venne, P.R.";"5";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"1";"0";"0"
;;"60";"Jenneskens, M.T.P.";"12";"0";"0";"0";"0";"0";"0";"11";"0";"1";"0";"0";"0";"0";"0"
;;"61";"Janssen, S.L.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"62";"de Vries, L.";"6";"1";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"1";"1"
;;"63";"Chaban, S.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"64";"Louhenapessij, A.F.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"65";"Nooitmeer, L.I.";"14";"0";"0";"2";"0";"0";"0";"9";"1";"0";"1";"0";"0";"0";"1"
;;"66";"van Essen, J.";"3";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0"
;;"67";"Nunnely, J.M.";"4";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"1"
;;"68";"Türkkol, N.";"3";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0"
;;"69";"van der Voort, P.H.J.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1"
;;"70";"Hendrickx, M.T.M.";"3";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0"
;;"71";"Gräper-van Koolwijk, F.Q.";"5";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"1";"0"
;;"72";"Weerwind, F.M.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0"
;;"73";"van Huffelen, A.C.";"7";"0";"0";"1";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"1"
;;"74";"Kuipers, E.J.";"13";"0";"2";"0";"1";"1";"0";"4";"1";"0";"1";"0";"0";"0";"3"
;;"75";"Ollongren, K.H.";"11";"0";"0";"0";"0";"0";"1";"7";"0";"0";"1";"0";"1";"1";"0"
;;"76";"Dijkgraaf, R.H.";"93";"3";"4";"4";"4";"2";"4";"37";"6";"8";"4";"3";"0";"7";"7"
;;"77";"Uslu, G.";"15";"1";"1";"1";"0";"0";"0";"4";"1";"0";"4";"1";"0";"2";"0"
;;"78";"Pechtold, A.";"38";"3";"2";"2";"0";"0";"2";"11";"5";"2";"3";"2";"1";"1";"4"
;;"79";"Terlouw, J.C.";"40";"1";"2";"3";"4";"1";"1";"15";"3";"2";"4";"0";"2";"0";"2"
;;"80";"Kaag, S.A.M.";"153";"5";"12";"15";"3";"6";"12";"60";"7";"7";"7";"2";"1";"8";"8"
"3";"GROENLINKS / Partij van de Arbeid (PvdA)";;;"69484";"2301";"1706";"4207";"1331";"2287";"1202";"38593";"2938";"3530";"1925";"1235";"775";"4166";"3288"
;;"1";"Timmermans, F.C.G.M.";"27449";"1073";"962";"1853";"679";"982";"652";"12073";"1563";"1722";"1022";"662";"470";"1975";"1761"
;;"2";"Lahlah, A.";"8307";"218";"205";"723";"123";"265";"202";"4486";"337";"372";"308";"150";"68";"431";"419"
;;"3";"Klaver, J.F.";"5355";"214";"151";"467";"160";"206";"129";"2354";"291";"361";"177";"125";"63";"356";"301"
;;"4";"Piri, K.P.";"1162";"34";"34";"97";"14";"29";"16";"588";"55";"55";"46";"15";"13";"72";"94"
