"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Utrecht"
"Nummer";;"HSB8"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Amersfoort";"Baarn";"De Bilt";"Bunnik";"Bunschoten";"Eemnes";"Houten";"Leusden";"Lopik";"Montfoort";"Renswoude";"Rhenen";"Soest";"Utrecht";"Veenendaal";"Woudenberg";"Wijk bij Duurstede";"IJsselstein";"Zeist";"Nieuwegein";"Oudewater";"Woerden";"De Ronde Venen";"Utrechtse Heuvelrug";"Stichtse Vecht";"Vijfheerenlanden"
;;"25";"Scholtz, C.";"17";"0";"0";"1";"0";"0";"0";"2";"0";"1";"0";"0";"0";"1";"7";"0";"0";"0";"0";"1";"3";"0";"1";"0";"0";"0";"0"
;;"26";"van Haarlem, C.R.O.";"3";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0"
;;"27";"de Lange, A.K.";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"28";"Hadderingh, B.S.T.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0"
;;"29";"Wittebrood, J.C.";"4";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"30";"Bilgin, T.";"6";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"31";"Luurssen, G.A.A.";"4";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"32";"Minkels, J.D.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"33";"Heller, T.H.G.";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"34";"Postuma, J.V.";"10";"4";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0"
;;"35";"Vos, A.V.B.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"36";"Hartman, M.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"37";"Panis, T.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"38";"van der Voort, J.A.";"4";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0"
;;"39";"Nijman, M.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"40";"Wijngaard, M.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"41";"van Rij, S.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0"
;;"42";"van Run, E.R.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1"
;;"43";"van de Breevaart, J.O.";"24";"3";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"2";"2";"1";"0";"1";"4";"0";"2";"2";"1";"0";"3";"1"
;;"44";"Schaap, D.V.";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"45";"de Graaff, M.J.R.L.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"46";"Zwitser, T.";"23";"6";"0";"0";"0";"1";"0";"1";"1";"0";"0";"1";"0";"0";"2";"0";"1";"1";"0";"0";"0";"0";"1";"4";"2";"0";"2"
;;"47";"van den Oetelaar, J.C.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"48";"Kerseboom, S.";"30";"5";"1";"0";"0";"2";"0";"1";"0";"0";"0";"1";"2";"1";"4";"2";"0";"1";"1";"1";"3";"1";"1";"0";"1";"1";"1"
;;"49";"Cliteur, P.B.";"21";"1";"0";"2";"1";"0";"0";"1";"0";"0";"1";"0";"1";"3";"3";"0";"0";"0";"0";"0";"4";"0";"1";"1";"1";"1";"0"
"8";"Partij voor de Dieren";;;"23493";"2938";"438";"896";"300";"66";"148";"674";"503";"104";"96";"31";"192";"853";"9084";"476";"122";"321";"352";"1345";"808";"96";"623";"527";"1185";"790";"525"
;;"1";"Ouwehand, E.";"15190";"1993";"317";"648";"191";"52";"119";"465";"371";"81";"68";"23";"137";"625";"4988";"354";"73";"236";"263";"890";"565";"81";"449";"384";"864";"573";"380"
;;"2";"Kostić, I.";"2046";"268";"39";"81";"22";"6";"7";"50";"26";"3";"4";"2";"15";"69";"991";"29";"3";"17";"14";"110";"60";"3";"41";"33";"78";"43";"32"
;;"3";"Teunissen, C.";"808";"85";"9";"27";"11";"0";"2";"25";"22";"1";"4";"2";"5";"37";"343";"20";"3";"10";"12";"49";"21";"1";"20";"20";"43";"24";"12"
;;"4";"Wassenberg, F.P.";"266";"30";"5";"15";"6";"0";"0";"2";"3";"0";"0";"1";"2";"13";"104";"2";"4";"2";"4";"25";"7";"0";"4";"4";"20";"7";"6"
;;"5";"Akerboom, E.S.";"858";"103";"14";"21";"8";"3";"5";"26";"20";"2";"2";"1";"4";"22";"401";"12";"6";"9";"7";"50";"34";"2";"15";"9";"30";"27";"25"
;;"6";"van Raan, L.";"218";"22";"5";"5";"2";"0";"1";"6";"2";"0";"2";"0";"1";"6";"99";"1";"0";"4";"4";"13";"2";"1";"3";"14";"15";"7";"3"
;;"7";"van Schaik, M.";"566";"57";"7";"9";"6";"0";"4";"14";"7";"2";"2";"1";"3";"7";"339";"8";"1";"2";"7";"23";"10";"1";"11";"10";"14";"16";"5"
;;"8";"Krijger, A.L.";"1185";"117";"13";"21";"15";"3";"2";"19";"12";"3";"3";"0";"7";"9";"736";"15";"1";"13";"9";"52";"34";"1";"17";"25";"21";"26";"11"
;;"9";"Plusquin, P.S.M.L.";"137";"13";"2";"1";"2";"0";"0";"0";"0";"2";"1";"0";"0";"1";"87";"2";"0";"2";"1";"6";"3";"1";"2";"1";"4";"2";"4"
;;"10";"Groenewege, P.J.L.";"33";"4";"1";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"13";"1";"0";"1";"1";"2";"0";"0";"3";"0";"2";"1";"1"
;;"11";"van Heuven, M.";"321";"13";"2";"17";"2";"0";"0";"11";"4";"0";"1";"0";"1";"10";"183";"1";"0";"3";"6";"17";"15";"0";"10";"2";"12";"7";"4"
;;"12";"van Hassel, F.";"39";"5";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"2";"1";"15";"5";"0";"1";"0";"1";"2";"0";"1";"0";"3";"1";"0"
;;"13";"Bunnik, R.J.";"227";"19";"3";"5";"9";"0";"1";"7";"1";"3";"4";"0";"1";"5";"114";"3";"0";"2";"3";"10";"5";"2";"16";"3";"6";"2";"3"
;;"14";"Schmeets, H.H.J.";"57";"9";"1";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"2";"24";"2";"0";"1";"0";"4";"2";"0";"1";"0";"2";"4";"1"
;;"15";"Pınar, K.";"126";"17";"1";"5";"0";"0";"0";"3";"0";"0";"0";"0";"0";"3";"75";"0";"0";"1";"1";"5";"2";"0";"2";"4";"0";"3";"4"
;;"16";"Jones, M.G.";"55";"7";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"2";"36";"0";"0";"1";"1";"0";"4";"0";"0";"0";"0";"0";"0"
;;"17";"Bosma, J.";"145";"16";"2";"1";"1";"0";"2";"3";"4";"0";"0";"0";"1";"6";"84";"4";"1";"1";"0";"7";"5";"1";"1";"0";"1";"3";"1"
;;"18";"Barker, R.N.";"3";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"19";"van Wijlandt, K.";"7";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"20";"Batteau, J.M.";"214";"34";"8";"6";"1";"0";"0";"3";"17";"0";"0";"1";"4";"14";"31";"5";"24";"5";"2";"17";"1";"0";"0";"0";"38";"3";"0"
;;"21";"Hollebeek, J.P.";"11";"3";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"3";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0"
;;"22";"Dicke, I.M.";"39";"8";"0";"0";"0";"1";"1";"2";"0";"0";"1";"0";"0";"0";"17";"0";"1";"0";"1";"1";"0";"0";"0";"2";"2";"2";"0"
;;"23";"Salemans, B.R.";"18";"4";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"6";"1";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"2"
;;"24";"Bersch, F.";"55";"1";"1";"3";"1";"0";"0";"7";"0";"1";"0";"0";"0";"1";"20";"0";"0";"0";"2";"1";"5";"0";"3";"0";"2";"6";"1"
;;"25";"de Gram, F.";"12";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"1";"0"
;;"26";"Krediet, L.";"42";"8";"0";"1";"3";"0";"0";"0";"0";"0";"0";"0";"1";"0";"16";"0";"0";"1";"0";"3";"1";"0";"2";"1";"0";"3";"2"
;;"27";"de Vos, D.J.C.";"50";"10";"1";"2";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"17";"0";"1";"1";"1";"3";"2";"0";"2";"5";"1";"0";"1"
;;"28";"van der Velde, M.C.";"69";"5";"0";"0";"1";"0";"1";"5";"1";"0";"1";"0";"0";"2";"20";"4";"0";"4";"0";"2";"1";"0";"1";"1";"6";"2";"12"
;;"29";"van Viegen, A.H.K.";"11";"2";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"1";"2";"0";"1";"0";"0"
;;"30";"Gerritsen, L.";"29";"4";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"3";"14";"1";"0";"0";"0";"3";"1";"0";"1";"0";"1";"0";"0"
;;"31";"Veenstra, M.";"14";"1";"1";"1";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"3";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"1";"1"
;;"32";"Vlasveld, A.I.";"17";"3";"0";"2";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"6";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0"
;;"33";"Janssens, T.A.O.";"9";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"34";"Coşkun, Z.P.";"73";"9";"0";"3";"2";"0";"1";"0";"0";"0";"0";"0";"0";"1";"43";"2";"0";"0";"0";"6";"0";"0";"2";"2";"0";"1";"1"
;;"35";"van der Pluijm, L.C.";"17";"2";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"1";"7";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"3"
;;"36";"Peeks, S.J.";"9";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0"
;;"37";"Pallandt, C.M.J.";"24";"1";"0";"2";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"12";"0";"0";"1";"1";"2";"0";"0";"0";"1";"0";"1";"0"
;;"38";"Pechler, W.I.";"11";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"1";"1"
;;"39";"van Lierop, J.";"7";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1"
;;"40";"Spruit, V.";"20";"4";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0";"1";"4";"0";"1";"0";"0";"2";"0";"1";"0";"0";"0";"3";"1"
;;"41";"Kuijer, B.";"6";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"42";"Markandu, G.";"56";"6";"3";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"2";"27";"1";"0";"1";"0";"5";"3";"0";"0";"2";"2";"1";"0"
;;"43";"Oudshoorn, J.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0"
;;"44";"Hanoeman, R.R.";"18";"3";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"8";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"2";"0"
;;"45";"Samshuijzen, E.";"8";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
;;"46";"Brouwer, M.";"3";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"47";"Onderdelinden, S.E.";"20";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8";"1";"0";"0";"1";"4";"0";"0";"1";"1";"0";"0";"1"
;;"48";"Rozema, J.G.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"49";"van de Peppel, S.";"16";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"0";"0";"0";"1";"1";"1";"0";"0";"0";"1";"0";"0"
;;"50";"Minnaert, X.D.E.";"322";"28";"1";"15";"8";"1";"0";"11";"3";"1";"0";"0";"1";"8";"154";"2";"3";"0";"6";"21";"14";"0";"10";"1";"14";"14";"6"
"9";"ChristenUnie";;;"25117";"3978";"313";"600";"222";"1551";"96";"1212";"832";"384";"300";"139";"471";"636";"2936";"3666";"515";"276";"322";"911";"585";"205";"1202";"504";"833";"749";"1679"
;;"1";"Bikker, M.H.";"19337";"2857";"260";"475";"166";"1227";"70";"956";"655";"343";"258";"112";"284";"505";"1914";"2788";"448";"227";"264";"710";"455";"173";"995";"422";"688";"604";"1481"
;;"2";"Grinwis, P.A.";"510";"85";"3";"18";"6";"16";"11";"24";"18";"6";"6";"5";"7";"14";"75";"68";"9";"9";"6";"29";"14";"6";"19";"6";"11";"19";"20"
;;"3";"Ceder, D.G.M.";"1130";"220";"5";"16";"5";"39";"7";"55";"40";"11";"8";"7";"16";"39";"252";"130";"12";"5";"7";"33";"38";"6";"46";"24";"29";"41";"39"
;;"4";"te Rietstap, A.H.";"97";"27";"2";"2";"0";"6";"0";"3";"5";"0";"1";"1";"2";"2";"17";"7";"0";"5";"0";"3";"2";"0";"3";"0";"4";"1";"4"
;;"5";"Gooijer-Medema, J.K.";"674";"134";"10";"12";"10";"25";"2";"37";"29";"5";"5";"1";"7";"15";"153";"71";"5";"6";"7";"20";"13";"7";"36";"10";"17";"12";"25"
;;"6";"Drost, N.";"589";"43";"4";"10";"8";"15";"0";"13";"8";"2";"2";"6";"127";"4";"40";"181";"11";"3";"4";"28";"6";"0";"13";"5";"27";"6";"23"
;;"7";"Holtman, T.S.";"58";"5";"3";"2";"3";"3";"0";"4";"3";"0";"2";"0";"1";"1";"12";"8";"0";"2";"1";"4";"0";"0";"1";"0";"1";"1";"1"
;;"8";"Otter-van den Bosch, C.";"162";"29";"2";"9";"1";"3";"0";"5";"4";"3";"1";"3";"5";"1";"27";"44";"0";"0";"0";"3";"2";"0";"3";"4";"4";"4";"5"
;;"9";"van der Graaf, S.J.F.";"705";"210";"6";"15";"3";"30";"2";"35";"33";"1";"5";"0";"5";"15";"128";"88";"12";"5";"1";"25";"11";"5";"20";"10";"12";"12";"16"
;;"10";"Klein, M.C.A.";"49";"9";"2";"1";"0";"4";"1";"5";"5";"0";"0";"0";"0";"1";"6";"4";"3";"0";"0";"0";"1";"0";"1";"2";"0";"2";"2"
;;"11";"Niesink, C.C.M.";"31";"9";"0";"0";"0";"1";"0";"2";"1";"0";"0";"0";"1";"1";"7";"4";"0";"0";"1";"1";"0";"0";"0";"1";"0";"2";"0"
;;"12";"Setz, J.N.";"45";"7";"0";"2";"1";"0";"0";"3";"0";"0";"0";"0";"1";"0";"18";"5";"1";"0";"0";"0";"0";"0";"5";"0";"2";"0";"0"
;;"13";"van der Krift, H.J.C.";"61";"8";"0";"0";"0";"2";"1";"3";"2";"2";"1";"0";"1";"1";"9";"4";"0";"0";"14";"4";"0";"0";"3";"0";"1";"1";"4"
;;"14";"Langen, A.L.";"19";"3";"2";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"6";"0";"0";"0";"0";"1";"0";"0";"1";"0";"2";"0";"1"
;;"15";"Koppejan, E.J.A.";"16";"3";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"1";"3";"0";"0";"0";"1";"3";"0";"0";"0";"2";"0";"0"
;;"16";"van Wageningen, E.";"19";"4";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"1";"5";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"2"
;;"17";"Tijhof, B.D.";"6";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1"
;;"18";"de Reus, W.T.";"12";"1";"0";"1";"0";"0";"0";"1";"2";"0";"0";"0";"1";"0";"2";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1"
;;"19";"Mbwete, N.A.G.";"42";"6";"2";"1";"0";"1";"0";"2";"0";"0";"3";"0";"1";"5";"4";"3";"0";"0";"2";"3";"2";"0";"1";"1";"3";"1";"1"
;;"20";"Treurniet, M.";"19";"4";"5";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"6";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0"
;;"21";"Palland, A.S.";"7";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"22";"Westerbeek, A.E.";"41";"13";"2";"0";"2";"0";"0";"2";"0";"0";"0";"0";"0";"1";"12";"1";"0";"0";"0";"3";"0";"0";"1";"0";"0";"4";"0"
;;"23";"Muilwijk, I.";"26";"2";"0";"1";"0";"1";"0";"1";"1";"0";"1";"0";"0";"0";"1";"1";"1";"0";"0";"2";"0";"0";"0";"0";"1";"0";"13"
;;"24";"Westerink-Petersen, J.";"20";"5";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"4";"5";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0"
;;"25";"Dijkstra-Verbeek, I.A.W.";"18";"4";"1";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"3";"1";"0";"1";"0";"0";"1";"0";"1";"1";"1";"0";"1"
;;"26";"van den Berg, G.";"12";"2";"0";"2";"0";"1";"0";"0";"2";"0";"0";"0";"1";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"27";"Broekmaat-Hagens, A.W.";"176";"12";"1";"0";"0";"155";"0";"0";"1";"0";"0";"0";"0";"6";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"28";"de Haan, M.E.";"29";"5";"0";"0";"0";"0";"0";"2";"0";"4";"3";"0";"0";"0";"3";"2";"0";"1";"1";"1";"1";"2";"3";"0";"1";"0";"0"
;;"29";"Koerts, A.J.";"116";"3";"0";"0";"0";"0";"0";"0";"2";"0";"0";"2";"1";"0";"2";"100";"1";"0";"1";"0";"2";"0";"1";"0";"0";"0";"1"
;;"30";"Roor-Wubs, A.E.";"207";"18";"0";"5";"3";"1";"0";"5";"1";"0";"0";"0";"0";"3";"95";"37";"1";"1";"3";"8";"10";"2";"2";"1";"1";"5";"5"
;;"31";"Verweij, J.P.";"26";"0";"0";"0";"0";"0";"0";"14";"0";"0";"0";"0";"0";"1";"2";"3";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"3"
;;"32";"Paalman-Dijkenga, I.M.";"15";"8";"0";"0";"1";"0";"0";"2";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0"
;;"33";"Kumar, A.D.J.M.";"5";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"34";"Kerklaan-van der Beek, E.M.";"8";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0"
;;"35";"Visser, J.A.";"68";"3";"0";"3";"3";"1";"0";"2";"0";"1";"0";"0";"1";"1";"27";"1";"0";"0";"0";"4";"5";"0";"6";"0";"4";"2";"4"
;;"36";"van der Pol, L.A.";"3";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"37";"Oudman, A.G.";"11";"2";"0";"4";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0"
;;"38";"van der Zande, J.M.";"7";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"1"
;;"39";"Grandia, G.C.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1"
;;"40";"van Oordt-Jonckheere, S.";"159";"116";"2";"1";"3";"2";"1";"1";"8";"1";"1";"0";"0";"3";"4";"3";"2";"1";"0";"1";"0";"2";"1";"1";"2";"1";"2"
;;"41";"Cornelissen, B.";"12";"4";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0"
;;"42";"Nede, N.N.";"14";"5";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"4";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0"
;;"43";"Schutte, J.W.";"3";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"44";"van Dijk, G.G.";"12";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"2";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1"
;;"45";"Adema, P.";"8";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0"
;;"46";"Bosman, F.G.";"6";"1";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"47";"Hoogenboom, E.";"58";"20";"0";"3";"0";"4";"0";"1";"2";"0";"1";"1";"1";"1";"6";"6";"2";"1";"0";"0";"1";"0";"1";"2";"1";"3";"1"
;;"48";"Stoorvogel, H.";"105";"19";"1";"4";"0";"3";"0";"5";"1";"0";"1";"1";"0";"6";"9";"18";"1";"0";"1";"7";"2";"1";"9";"0";"3";"7";"6"
;;"49";"van den Berg, R.C.";"57";"9";"0";"1";"1";"0";"0";"0";"1";"2";"0";"0";"0";"0";"2";"19";"0";"4";"0";"0";"2";"0";"1";"4";"2";"6";"3"
;;"50";"de Graaf, B.A.";"305";"52";"0";"5";"5";"7";"0";"14";"3";"1";"1";"0";"6";"5";"61";"52";"4";"3";"6";"17";"8";"1";"18";"9";"10";"8";"9"
"10";"Volt";;;"21620";"2523";"314";"715";"264";"52";"88";"725";"436";"72";"138";"13";"152";"598";"9637";"391";"91";"245";"263";"1164";"607";"80";"617";"441";"856";"746";"392"
;;"1";"Dassen, L.A.J.M.";"10330";"1237";"186";"390";"138";"28";"57";"362";"221";"41";"82";"5";"83";"354";"3958";"227";"49";"135";"137";"623";"302";"33";"321";"277";"451";"429";"204"
;;"2";"Koekkoek, M.";"6475";"662";"80";"200";"74";"12";"22";"198";"132";"23";"34";"5";"33";"151";"3170";"91";"27";"73";"96";"350";"186";"27";"163";"118";"192";"232";"124"
;;"3";"Boutkan, E.";"179";"21";"0";"5";"3";"0";"2";"6";"3";"0";"0";"0";"3";"0";"83";"4";"1";"1";"2";"3";"13";"5";"14";"0";"7";"2";"1"
;;"4";"Elfilali, I.";"1276";"128";"7";"23";"12";"2";"1";"19";"20";"2";"6";"0";"4";"21";"814";"25";"5";"2";"9";"37";"30";"6";"26";"11";"23";"26";"17"
;;"5";"Hagoort, M.B.J.";"76";"5";"3";"2";"1";"0";"0";"2";"2";"0";"0";"0";"0";"2";"36";"1";"0";"2";"1";"6";"2";"0";"7";"1";"1";"1";"1"
;;"6";"Frijters, R.M.J.";"789";"91";"7";"17";"7";"2";"3";"7";"8";"1";"6";"1";"4";"7";"486";"8";"1";"2";"5";"33";"21";"1";"20";"11";"13";"21";"6"
;;"7";"de Boer, R.W.";"86";"6";"2";"4";"1";"0";"0";"2";"1";"1";"0";"0";"0";"4";"43";"1";"0";"1";"0";"6";"0";"0";"6";"3";"4";"1";"0"
;;"8";"van der Lugt, S.";"882";"83";"7";"32";"11";"0";"2";"16";"9";"2";"2";"1";"15";"22";"392";"20";"2";"18";"2";"44";"13";"3";"25";"4";"142";"8";"7"
;;"9";"Beijnon, B.";"109";"8";"1";"3";"0";"1";"0";"4";"1";"1";"0";"0";"0";"3";"64";"1";"0";"1";"0";"5";"5";"0";"1";"3";"0";"3";"4"
;;"10";"Twickler, R.";"254";"37";"0";"5";"6";"2";"0";"6";"6";"0";"0";"0";"1";"7";"136";"3";"0";"0";"2";"16";"5";"1";"6";"0";"5";"5";"5"
