"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Arnhem"
"Nummer";;"HSB7"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Aalten";"Apeldoorn";"Arnhem";"Barneveld";"Brummen";"Doesburg";"Doetinchem";"Duiven";"Ede";"Elburg";"Epe";"Ermelo";"Harderwijk";"Hattem";"Heerde";"Lochem";"Nijkerk";"Oldebroek";"Putten";"Renkum";"Rheden";"Rozendaal";"Scherpenzeel";"Voorst";"Wageningen";"Westervoort";"Winterswijk";"Zevenaar";"Zutphen";"Nunspeet";"Oude IJsselstreek";"Oost Gelre";"Lingewaard";"Overbetuwe";"Berkelland";"Bronckhorst";"Montferland"
;;"44";"Rahimi, H.";"43";"0";"6";"8";"1";"0";"0";"1";"0";"4";"0";"0";"1";"1";"0";"0";"1";"5";"1";"0";"1";"1";"0";"0";"2";"0";"1";"0";"2";"0";"0";"0";"0";"2";"4";"1";"0";"0"
;;"45";"Omlo, B.F.";"268";"0";"4";"7";"5";"1";"0";"1";"1";"190";"2";"1";"0";"0";"0";"1";"0";"7";"0";"0";"8";"2";"0";"2";"1";"8";"0";"0";"3";"1";"0";"2";"1";"4";"8";"2";"5";"1"
;;"46";"Yizhak Cooremans, R.A.T.";"7";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"47";"Nelisse, R.M.L.";"24";"0";"3";"1";"3";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"2";"1";"0";"0";"2";"3";"0";"1";"0";"0";"2";"1";"0";"0"
;;"48";"de Wit, B.G.P.";"19";"0";"2";"2";"1";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"3";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"1";"2"
;;"49";"van Meerten-Kok, M.A.";"11";"1";"0";"2";"0";"0";"0";"0";"0";"2";"0";"0";"0";"2";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
;;"50";"Hoogezand, B.";"18";"0";"0";"0";"1";"2";"0";"1";"0";"2";"0";"1";"0";"2";"0";"0";"0";"1";"1";"0";"1";"0";"0";"1";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1"
;;"51";"Achterbergh, M.";"14";"0";"3";"1";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"1";"2"
;;"52";"Wendel, H.";"27";"0";"2";"2";"3";"0";"0";"2";"1";"4";"0";"0";"0";"0";"0";"0";"1";"2";"1";"0";"1";"0";"0";"0";"2";"1";"0";"0";"2";"0";"0";"0";"0";"0";"2";"0";"1";"0"
;;"53";"Kohli, N.R.";"39";"1";"5";"17";"0";"0";"0";"0";"0";"2";"0";"0";"1";"2";"1";"0";"0";"2";"0";"0";"0";"3";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0"
