"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Arnhem"
"Nummer";;"HSB7"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Aalten";"Apeldoorn";"Arnhem";"Barneveld";"Brummen";"Doesburg";"Doetinchem";"Duiven";"Ede";"Elburg";"Epe";"Ermelo";"Harderwijk";"Hattem";"Heerde";"Lochem";"Nijkerk";"Oldebroek";"Putten";"Renkum";"Rheden";"Rozendaal";"Scherpenzeel";"Voorst";"Wageningen";"Westervoort";"Winterswijk";"Zevenaar";"Zutphen";"Nunspeet";"Oude IJsselstreek";"Oost Gelre";"Lingewaard";"Overbetuwe";"Berkelland";"Bronckhorst";"Montferland"
;;"4";"Courtar, G.O.";"50";"0";"4";"17";"2";"1";"0";"1";"0";"1";"2";"1";"1";"0";"0";"0";"0";"0";"0";"0";"3";"2";"0";"0";"0";"5";"0";"2";"0";"0";"2";"2";"0";"2";"0";"0";"2";"0"
;;"5";"de Miranda, E.N.";"46";"1";"3";"19";"0";"2";"0";"2";"0";"3";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"7";"0";"0";"0";"1";"0";"0";"0";"2";"2";"0";"0";"0"
;;"6";"Berend, C.E.W.R.";"181";"0";"14";"61";"3";"0";"0";"4";"3";"13";"0";"1";"0";"3";"1";"1";"3";"2";"1";"3";"8";"5";"0";"0";"6";"22";"0";"3";"2";"6";"3";"3";"1";"3";"1";"2";"1";"2"
;;"7";"Luhrs, Y.";"44";"0";"5";"16";"0";"0";"0";"2";"3";"4";"0";"0";"1";"1";"0";"0";"0";"0";"0";"2";"0";"3";"0";"0";"0";"1";"1";"1";"2";"1";"0";"0";"0";"1";"0";"0";"0";"0"
;;"8";"Gal, Y.";"17";"0";"0";"6";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"5";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"1"
;;"9";"ten Caat, J.";"6";"1";"1";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"10";"Zandee, J.I.N.";"137";"1";"5";"53";"1";"1";"0";"3";"2";"13";"1";"2";"2";"1";"0";"0";"0";"1";"0";"0";"4";"5";"0";"0";"3";"16";"0";"0";"5";"6";"1";"1";"2";"1";"3";"2";"0";"2"
;;"11";"Bakker, D.L.";"9";"0";"2";"3";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"12";"Wienen, R.D.";"48";"1";"6";"8";"1";"0";"0";"2";"0";"3";"0";"1";"2";"2";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"6";"0";"0";"3";"1";"0";"0";"1";"1";"3";"2";"1";"1"
;;"13";"Bijleveld, D.";"95";"0";"10";"39";"1";"0";"0";"4";"3";"3";"0";"3";"1";"2";"1";"0";"1";"1";"0";"0";"2";"2";"0";"0";"0";"6";"0";"1";"0";"3";"2";"2";"0";"2";"3";"0";"2";"1"
;;"14";"Vrede, R.I.";"48";"1";"4";"22";"0";"1";"0";"1";"0";"6";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"4";"0";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0"
;;"15";"Timmer, R.S.Y.";"65";"0";"4";"23";"0";"1";"0";"0";"0";"6";"0";"1";"0";"2";"0";"1";"2";"2";"0";"1";"0";"1";"1";"0";"0";"9";"1";"0";"1";"3";"0";"2";"1";"1";"1";"0";"1";"0"
"17";"Piratenpartij - De Groenen";;;"712";"12";"58";"128";"9";"4";"4";"35";"7";"61";"2";"12";"10";"19";"7";"6";"13";"20";"8";"9";"17";"26";"1";"2";"5";"39";"6";"16";"19";"32";"9";"13";"13";"22";"22";"15";"16";"15"
;;"1";"van Treuren, M.A.";"363";"4";"27";"61";"2";"1";"4";"17";"5";"28";"2";"5";"7";"9";"4";"5";"6";"10";"6";"3";"11";"17";"1";"0";"3";"17";"5";"6";"8";"20";"4";"6";"9";"10";"15";"7";"8";"10"
;;"2";"Sadloe, S.";"108";"2";"9";"24";"1";"0";"0";"3";"0";"9";"0";"2";"2";"2";"0";"0";"3";"3";"0";"3";"3";"3";"0";"0";"1";"9";"1";"4";"3";"4";"1";"5";"1";"2";"1";"4";"2";"1"
;;"3";"van Zwoll, R.M.E.";"36";"0";"5";"3";"3";"0";"0";"2";"0";"4";"0";"3";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"3";"1";"0";"1";"2";"2";"0";"0";"1"
;;"4";"Pontier, M.A.";"21";"2";"1";"8";"1";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"1"
;;"5";"Brandsma, W.A.";"8";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"6";"ter Haar, O.H.";"10";"0";"2";"2";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0"
;;"7";"Zimmerman, H.K.";"14";"1";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"8";"van Rijn, M.P.";"15";"0";"0";"3";"0";"1";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"3";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"9";"Berendsen, P.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"10";"Yadegari, S.";"2";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"11";"Pot, A.A.M.";"14";"1";"2";"2";"0";"0";"0";"1";"1";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"12";"Werner, D.R.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"13";"van Deijk, D.D.";"4";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"14";"Russchenberg, S.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"15";"Hallegraeff, D.S.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"16";"Bresser, A.C.";"31";"1";"0";"9";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"2";"1";"0";"0";"0";"1";"0";"1";"2";"1";"0";"0";"0";"3";"3";"2";"1";"0"
;;"17";"Abendroth, A.M.";"11";"1";"0";"2";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1"
;;"18";"Darvish-Zadeh, P.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"19";"Schrama, D.D.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"20";"Werner-Wafelman, L.S.";"4";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"21";"Plesa, B.";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"22";"Bouma, E.";"23";"0";"4";"0";"0";"0";"0";"0";"0";"13";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"2";"0"
;;"23";"Bethlehem, C.";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"24";"Dekkers, S.A.P.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"25";"van Nes, T.";"4";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"26";"Linnenbank, A.C.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"27";"Braun, P.W.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"28";"Doting, R.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"29";"Teders, N.B.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"30";"Bakkers, T.F.M.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"31";"van Gelderen, J.J.";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"32";"baron van Till, J.W.J.";"10";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"2";"0";"0";"0";"1";"0";"0";"1";"0"
;;"33";"van Breemen, W.";"9";"0";"1";"4";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0"
;;"34";"Blaak, M.G.M.H.";"9";"0";"1";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"1"
"18";"BVNL / Groep Van Haga";;;"4415";"101";"533";"408";"175";"84";"29";"139";"52";"347";"55";"109";"86";"122";"38";"52";"132";"122";"43";"76";"84";"138";"5";"23";"58";"62";"31";"104";"165";"134";"66";"120";"104";"111";"125";"169";"96";"117"
;;"1";"van Haga, W.R.";"3165";"65";"379";"312";"123";"63";"24";"98";"48";"269";"40";"84";"71";"90";"28";"38";"88";"84";"31";"48";"66";"106";"4";"14";"39";"35";"19";"83";"121";"84";"52";"82";"72";"81";"87";"101";"57";"79"
;;"2";"Krol, H.C.M.";"115";"0";"13";"5";"4";"1";"1";"2";"0";"11";"0";"3";"4";"8";"0";"2";"3";"4";"2";"1";"3";"2";"0";"3";"1";"3";"1";"2";"6";"1";"3";"5";"2";"1";"3";"4";"6";"5"
;;"3";"van Keimpema, J.S.";"444";"13";"36";"21";"30";"4";"1";"16";"4";"25";"7";"11";"3";"8";"7";"7";"24";"11";"3";"9";"2";"12";"0";"3";"5";"8";"2";"7";"19";"13";"7";"13";"16";"11";"15";"33";"20";"18"
;;"4";"Dercksen, R.G.J.";"11";"0";"2";"0";"1";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2"
;;"5";"Koopmans - van der Veen, W.J.";"59";"1";"10";"3";"5";"0";"2";"1";"0";"4";"1";"1";"1";"2";"1";"0";"0";"4";"0";"1";"0";"1";"0";"0";"0";"2";"0";"1";"1";"0";"1";"5";"2";"2";"4";"2";"0";"1"
;;"6";"van Aalst, R.R.";"31";"1";"2";"2";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"3";"0";"3";"3";"0";"0";"8";"1";"2"
;;"7";"Emons, I.M.A.";"23";"0";"3";"3";"0";"0";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"2";"1";"0";"0";"0";"2";"0";"0";"1";"0";"1";"1";"1";"1"
;;"8";"Shahbazi Fishtali, S.";"33";"2";"1";"3";"1";"4";"0";"2";"0";"2";"0";"0";"3";"3";"0";"0";"0";"0";"0";"1";"2";"1";"0";"0";"1";"2";"0";"0";"1";"3";"0";"1";"0";"0";"0";"0";"0";"0"
;;"9";"de Kok, A.";"17";"0";"2";"0";"0";"0";"0";"0";"0";"2";"2";"0";"0";"1";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"3";"0";"1"
;;"10";"van Tellingen, H.P.";"14";"0";"1";"0";"0";"0";"1";"1";"0";"3";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1"
;;"11";"van der Velden, P.";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"12";"Ramautarsing, Y.J.S.";"8";"0";"0";"0";"0";"1";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0"
;;"13";"Bosscher, C.J.";"10";"0";"4";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"14";"Wijnschenk, H.H.R.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"15";"Hulleman, S.P.X.";"184";"14";"14";"12";"6";"2";"0";"3";"0";"11";"2";"8";"1";"5";"0";"2";"7";"11";"3";"10";"4";"7";"0";"0";"2";"9";"2";"4";"4";"15";"1";"3";"1";"6";"1";"8";"3";"3"
;;"16";"Schuiling, A.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"17";"van der Veen, T.A.";"5";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0"
;;"18";"Schilder, P.C.J.";"13";"0";"1";"9";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"19";"Vogelzang, S.J.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"20";"Pestman, R.J.E.";"3";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"21";"Vulders, S.";"14";"1";"2";"3";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"1";"0";"0";"0"
;;"22";"van der Wiele, D.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"23";"Brunke, R.L.";"3";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"24";"Gorter-de Vos, M.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"25";"van Dalen, E.H.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"26";"Wiersma, K.J.";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"27";"van Kassel, P.";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"28";"Wymenga-Kooistra, G.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"29";"Jonk, S.J.M.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"30";"Zuidema, C.";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"31";"van der Meeren, C.J.R.F.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"32";"Mensing, C.M.";"7";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0"
;;"33";"Durlacher, F.";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"34";"Dienjes, C.S.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"35";"de Bekker, M.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"36";"Laarhoven, E.L.O.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"37";"Eradus, R.F.E.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0"
;;"38";"Westhoff, R.J.H.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"39";"Beverloo, M.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"40";"van Buuren, M.J.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"41";"Overeem, A.C.";"76";"1";"5";"17";"0";"0";"0";"8";"0";"10";"1";"0";"2";"1";"0";"0";"1";"3";"0";"1";"2";"0";"1";"0";"1";"2";"0";"0";"5";"2";"0";"1";"0";"4";"2";"4";"0";"2"
;;"42";"Thiessens, F.B.M.";"71";"2";"43";"3";"1";"3";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"2";"0";"0";"0";"3";"1";"0";"3";"1"
;;"43";"Brouwer, A.";"9";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"44";"Manders, T.T.A.J.";"16";"0";"0";"4";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"0";"0";"1";"0";"1";"1"
;;"45";"Filippini, L.T.C.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"46";"Verweij, D.W.";"3";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"47";"Elens, R.B.";"32";"0";"4";"2";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"2";"0";"1";"2";"0";"1";"0";"4";"2";"0";"0";"0";"3";"2";"2";"1";"0"
;;"48";"Rolloos, M.A.";"3";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"49";"Talsma, J.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"50";"Smolders, H.A.J.";"9";"0";"4";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"19";"Nieuw Sociaal Contract";;;"137785";"3286";"14383";"9303";"4203";"2012";"978";"5778";"2494";"8709";"2158";"2962";"2613";"4041";"1467";"2094";"3464";"3744";"2267";"2151";"2460";"3573";"125";"730";"2567";"2113";"1268";"3955";"4406";"3971";"2164";"4542";"4449";"4715";"4284";"6380";"4140";"3836"
;;"1";"Omtzigt, P.H.";"123499";"2777";"13012";"8312";"3817";"1852";"910";"5135";"2281";"7872";"2008";"2745";"2398";"3681";"1351";"1974";"3190";"3391";"2123";"1941";"2233";"3196";"116";"678";"2368";"1832";"1180";"2309";"4100";"3599";"2001";"4031";"3746";"4420";"3950";"5777";"3677";"3516"
;;"2";"van Vroonhoven-Kok, J.N.";"4610";"55";"613";"395";"171";"58";"26";"147";"98";"377";"75";"98";"99";"173";"54";"52";"121";"168";"60";"96";"95";"146";"2";"24";"90";"111";"35";"51";"133";"130";"85";"96";"78";"142";"149";"101";"118";"88"
;;"3";"Uitermark, J.J.M.";"938";"11";"134";"90";"40";"23";"4";"37";"15";"70";"15";"24";"19";"33";"5";"8";"26";"33";"10";"15";"25";"28";"0";"5";"19";"15";"9";"5";"18";"33";"9";"16";"14";"28";"35";"24";"20";"23"
