"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Tilburg"
"Nummer";;"HSB17"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Baarle-Nassau";"Bergen op Zoom";"Breda";"Dongen";"Etten-Leur";"Geertruidenberg";"Gilze en Rijen";"Goirle";"Hilvarenbeek";"Loon op Zand";"Oisterwijk";"Oosterhout";"Rucphen";"Steenbergen";"Tilburg";"Waalwijk";"Woensdrecht";"Zundert";"Halderberge";"Roosendaal";"Moerdijk";"Drimmelen";"Alphen-Chaam";"Altena"
;;"20";"Hammelburg, A.R.";"15";"0";"0";"3";"0";"1";"1";"0";"1";"0";"0";"1";"0";"0";"1";"6";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"21";"Hollander, J.";"80";"0";"3";"20";"2";"1";"0";"2";"3";"2";"0";"0";"5";"0";"0";"24";"2";"1";"2";"0";"5";"4";"3";"1";"0"
;;"22";"ten Dolle, L.";"106";"1";"7";"24";"3";"5";"0";"0";"2";"1";"1";"1";"9";"0";"2";"24";"3";"1";"4";"2";"9";"2";"1";"2";"2"
;;"23";"Blommers, D.";"28";"0";"1";"9";"1";"1";"1";"0";"1";"0";"1";"1";"0";"0";"0";"4";"0";"1";"0";"2";"2";"1";"1";"1";"0"
;;"24";"van Breugel, C.";"109";"0";"2";"17";"2";"2";"1";"3";"2";"0";"0";"1";"7";"0";"2";"46";"5";"2";"1";"1";"6";"3";"2";"1";"3"
;;"25";"Teunissen, J.C.M.";"572";"0";"12";"322";"8";"26";"2";"11";"4";"3";"4";"2";"32";"8";"5";"25";"5";"2";"7";"12";"24";"24";"15";"12";"7"
;;"26";"Çimen, M.";"41";"0";"2";"16";"0";"1";"0";"0";"1";"0";"0";"0";"1";"0";"1";"16";"1";"0";"0";"0";"2";"0";"0";"0";"0"
;;"27";"Oualhadj, A.";"16";"0";"0";"7";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"6";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"28";"Putuhena, M.";"8";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"29";"Keij, E.J.";"12";"1";"1";"3";"1";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"30";"Brink, V.J.";"40";"0";"2";"17";"1";"1";"0";"1";"3";"0";"2";"2";"0";"0";"0";"7";"0";"0";"1";"0";"1";"1";"0";"0";"1"
