"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Lelystad"
"Nummer";;"HSB5"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Almere";"Zeewolde";"Noordoostpolder";"Urk";"Dronten";"Lelystad"
;;"31";"van den Born, V.H.";"3";"0";"0";"0";"0";"0";"3"
;;"32";"Crijns, P.P.";"4";"2";"0";"0";"0";"1";"1"
;;"33";"van Haasen, J.P.";"2";"2";"0";"0";"0";"0";"0"
;;"34";"Vondeling, M.";"29";"15";"2";"5";"1";"3";"3"
;;"35";"Valize, J.J.T.M.";"2";"1";"0";"0";"0";"0";"1"
;;"36";"Heutink, H.D.";"4";"3";"0";"1";"0";"0";"0"
;;"37";"Pool, J.";"35";"2";"1";"13";"0";"16";"3"
;;"38";"Faddegon, C.J.";"0";"0";"0";"0";"0";"0";"0"
;;"39";"Uppelschoten, N.A.";"4";"1";"1";"1";"1";"0";"0"
;;"40";"Rep, R.J.H.H.";"5";"1";"1";"1";"0";"1";"1"
;;"41";"Thiadens, F.M.";"4";"3";"0";"0";"0";"1";"0"
;;"42";"Raijer, A.J.";"199";"151";"8";"4";"0";"9";"27"
;;"43";"van Bijnen, H.M.";"3";"1";"1";"0";"0";"0";"1"
;;"44";"van Hattem, A.W.J.A.";"2";"1";"0";"0";"1";"0";"0"
;;"45";"van Strien, G.A.";"30";"19";"2";"5";"1";"0";"3"
"5";"CDA";;;"5716";"1206";"487";"1559";"473";"1173";"818"
;;"1";"Bontenbal, H.";"4640";"960";"387";"1208";"429";"969";"687"
;;"2";"Vedder, E.C.";"441";"102";"43";"117";"23";"103";"53"
;;"3";"Boswijk, D.G.";"62";"10";"11";"16";"3";"15";"7"
;;"4";"van Dijk, I.";"53";"18";"7";"7";"2";"8";"11"
;;"5";"Krul, H.M.";"16";"6";"1";"3";"1";"4";"1"
;;"6";"Palland-Mulder, H.M.";"143";"24";"13";"38";"6";"42";"20"
;;"7";"van den Brink, G.";"18";"8";"3";"2";"2";"3";"0"
;;"8";"Absil, M.G.J.A.C.";"12";"7";"1";"2";"0";"1";"1"
;;"9";"Steen, H.S.";"7";"3";"0";"2";"0";"0";"2"
;;"10";"Kuik, A.";"35";"10";"5";"4";"0";"6";"10"
;;"11";"Spoelstra, J.";"11";"4";"0";"5";"1";"1";"0"
;;"12";"Slootweg, E.J.";"4";"0";"1";"0";"0";"1";"2"
;;"13";"Chaoui-Nhass, S.";"11";"4";"2";"0";"0";"2";"3"
;;"14";"Zwinkels, J.M.";"14";"8";"2";"2";"0";"2";"0"
;;"15";"Diederen, R.";"3";"2";"0";"0";"0";"0";"1"
;;"16";"Hamstra, S.";"7";"2";"4";"0";"0";"0";"1"
;;"17";"Houmes, E.S.";"6";"3";"0";"1";"1";"0";"1"
;;"18";"van den Berg, J.H.C.";"5";"2";"0";"2";"0";"0";"1"
;;"19";"de Haan, J.D.P.";"2";"2";"0";"0";"0";"0";"0"
;;"20";"Vermeer, J.";"6";"2";"1";"2";"1";"0";"0"
;;"21";"van der Heide, E.J.";"6";"1";"0";"2";"0";"1";"2"
;;"22";"Goos, J.C.M.";"158";"4";"1";"138";"4";"6";"5"
;;"23";"Boogaard, P.";"4";"3";"1";"0";"0";"0";"0"
;;"24";"Goudzwaard-Wiersma, W.";"5";"3";"0";"1";"0";"0";"1"
;;"25";"Segers-Hoogendoorn, R.G.C.";"0";"0";"0";"0";"0";"0";"0"
;;"26";"van Gijssel, A.K.";"0";"0";"0";"0";"0";"0";"0"
;;"27";"Goudriaan, L.H.";"1";"0";"0";"1";"0";"0";"0"
;;"28";"van Lagen, M.";"2";"1";"0";"1";"0";"0";"0"
;;"29";"van der Spek, A.M.";"5";"1";"1";"1";"0";"2";"0"
;;"30";"Out, F.M.S.";"0";"0";"0";"0";"0";"0";"0"
;;"31";"Silos, J.J.";"1";"1";"0";"0";"0";"0";"0"
;;"32";"Tuncer, Y.";"1";"1";"0";"0";"0";"0";"0"
;;"33";"Broekhuis, J.C.";"0";"0";"0";"0";"0";"0";"0"
