"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Leiden"
"Nummer";;"HSB15"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Alphen aan den Rijn";"Capelle aan den IJssel";"Gouda";"Hillegom";"Katwijk";"Krimpen aan den IJssel";"Leiden";"Leiderdorp";"Lisse";"Nieuwkoop";"Noordwijk";"Oegstgeest";"Voorschoten";"Waddinxveen";"Wassenaar";"Zoetermeer";"Zoeterwoude";"Teylingen";"Lansingerland";"Kaag en Braassem";"Zuidplas";"Bodegraven-Reeuwijk";"Leidschendam-Voorburg";"Pijnacker-Nootdorp";"Krimpenerwaard"
;;"65";"Bouma, R.A.";"9";"2";"1";"1";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1"
;;"66";"van Berlo, J.T.M.";"11";"1";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"1";"0";"1";"0";"1";"0";"3";"1";"0";"0";"0";"0";"0"
;;"67";"Talens, A.E.";"7";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"1"
;;"68";"Bruin, R.N.";"5";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0"
;;"69";"van 't Hull-Bettink, G.D.W.";"72";"6";"0";"0";"5";"2";"0";"6";"1";"6";"3";"6";"3";"1";"1";"3";"0";"0";"8";"1";"16";"0";"2";"1";"1";"0"
;;"70";"Gadella, J.A.N.";"10";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"3";"1"
;;"71";"Vermeulen, D.";"15";"1";"1";"1";"0";"0";"0";"2";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"4";"0";"0";"0";"1";"0";"0";"2"
;;"72";"van Noort-Cnossen, M.G.";"76";"23";"1";"1";"0";"0";"0";"1";"0";"0";"41";"0";"0";"0";"0";"0";"2";"0";"0";"0";"4";"0";"2";"0";"0";"1"
;;"73";"Van der Sanden, M.M.E.";"18";"3";"0";"2";"0";"0";"2";"1";"0";"0";"0";"1";"1";"0";"1";"2";"1";"0";"1";"0";"0";"2";"0";"1";"0";"0"
;;"74";"Rodoe, H.";"3";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"75";"Schollink, C.D.";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"3";"1";"1"
