"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Zwolle"
"Nummer";;"HSB4"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Almelo";"Borne";"Dalfsen";"Deventer";"Enschede";"Haaksbergen";"Hardenberg";"Hellendoorn";"Hengelo (O)";"Kampen";"Losser";"Oldenzaal";"Ommen";"Raalte";"Staphorst";"Tubbergen";"Wierden";"Zwolle";"Twenterand";"Steenwijkerland";"Hof van Twente";"Rijssen-Holten";"Olst-Wijhe";"Dinkelland";"Zwartewaterland"
;;"14";"Franse, A.H.";"13";"0";"1";"0";"4";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"4"
;;"15";"van Loon, J.C.A.";"8";"0";"0";"0";"0";"0";"1";"0";"0";"3";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0"
;;"16";"de Kruif, F.N.J.";"7";"0";"0";"2";"0";"1";"0";"0";"0";"1";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"17";"van Es, J.W.";"6";"0";"0";"0";"3";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"18";"Biever, R.M.";"3";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"19";"Hamersma, K.";"12";"2";"1";"0";"1";"3";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
;;"20";"Hornis, M.P.";"48";"6";"1";"0";"3";"4";"1";"10";"1";"3";"2";"0";"3";"0";"0";"5";"0";"0";"1";"1";"2";"4";"0";"0";"0";"1"
;;"21";"van Aert, J.L.";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"22";"Vriens, M.F.L.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"23";"Voets, J.J.M.";"9";"1";"0";"0";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"24";"Hendriks, J.";"26";"5";"0";"0";"3";"3";"0";"2";"1";"2";"0";"0";"2";"1";"0";"0";"0";"0";"3";"0";"0";"0";"3";"1";"0";"0"
"15";"BBB";;;"63533";"1926";"831";"3455";"6054";"2233";"1571";"5919";"2795";"1847";"2228";"1305";"863";"2016";"4558";"968";"2546";"1702";"2668";"2504";"3649";"3355";"2428";"2049";"2866";"1197"
;;"1";"van der Plas, C.A.M.";"52852";"1645";"720";"2783";"4969";"1822";"1324";"4977";"2393";"1536";"1756";"1113";"746";"1701";"3843";"778";"2274";"1450";"2088";"2146";"2886";"2834";"1951";"1771";"2530";"816"
;;"2";"Keijzer, M.C.G.";"4224";"140";"52";"195";"243";"159";"97";"489";"180";"135";"202";"96";"51";"146";"265";"80";"120";"116";"219";"170";"307";"235";"153";"111";"176";"87"
;;"3";"Tuinman, G.P.";"482";"16";"3";"26";"39";"30";"5";"40";"16";"26";"21";"3";"11";"21";"25";"10";"16";"19";"35";"14";"42";"20";"19";"9";"6";"10"
;;"4";"Vermeer, H.";"233";"4";"1";"20";"18";"10";"17";"16";"11";"5";"16";"1";"4";"4";"12";"5";"4";"1";"11";"8";"13";"11";"12";"17";"7";"5"
;;"5";"Helder, L.M.J.S.";"176";"2";"2";"9";"21";"9";"6";"10";"5";"10";"7";"2";"1";"3";"16";"5";"2";"3";"15";"8";"8";"10";"9";"6";"4";"3"
;;"6";"Pierik, C.R.";"883";"11";"4";"47";"16";"9";"14";"49";"8";"6";"122";"10";"0";"26";"25";"29";"31";"15";"55";"10";"86";"15";"14";"20";"21";"240"
;;"7";"van Zanten, C.R.";"95";"2";"0";"2";"9";"7";"3";"3";"7";"8";"4";"1";"2";"3";"11";"2";"0";"1";"3";"5";"12";"2";"2";"3";"2";"1"
;;"8";"Rummenie, J.F.";"17";"0";"0";"0";"1";"2";"0";"2";"0";"1";"0";"0";"3";"1";"1";"1";"0";"0";"2";"2";"1";"0";"0";"0";"0";"0"
;;"9";"Pouw-Verweij, N.J.F.";"244";"4";"3";"13";"21";"13";"2";"19";"16";"11";"13";"3";"3";"13";"14";"9";"5";"9";"28";"4";"11";"6";"7";"6";"8";"3"
;;"10";"Rikkers-Oosterkamp, M.G.F.";"182";"1";"0";"6";"6";"3";"1";"14";"7";"12";"6";"3";"1";"3";"4";"2";"3";"2";"3";"6";"87";"5";"2";"2";"1";"2"
;;"11";"Wijen-Nass, M.J.M.H.";"53";"2";"1";"2";"5";"1";"2";"5";"0";"4";"0";"1";"0";"0";"4";"1";"1";"3";"4";"2";"3";"2";"5";"3";"1";"1"
;;"12";"Oostenbrink, M.";"42";"0";"1";"3";"2";"0";"0";"23";"1";"1";"2";"0";"1";"1";"0";"1";"0";"1";"3";"1";"0";"1";"0";"0";"0";"0"
;;"13";"Rekers, J.D.";"587";"37";"30";"0";"3";"122";"42";"23";"20";"57";"2";"34";"24";"2";"2";"0";"33";"20";"2";"28";"1";"44";"7";"2";"52";"0"
;;"14";"Hendriks, A.J.";"28";"1";"0";"1";"2";"0";"1";"4";"1";"2";"2";"0";"1";"0";"7";"0";"0";"0";"1";"3";"0";"0";"0";"1";"1";"0"
;;"15";"Govaert, C.A.H.M.";"37";"3";"0";"1";"1";"2";"1";"6";"2";"3";"2";"2";"1";"0";"2";"1";"0";"1";"1";"3";"0";"0";"3";"0";"1";"1"
;;"16";"van Vliet, L.R.";"716";"5";"1";"289";"5";"4";"4";"109";"27";"3";"6";"0";"1";"58";"58";"12";"16";"8";"29";"37";"5";"8";"7";"16";"7";"1"
;;"17";"Hemmen, H.M.";"60";"3";"1";"4";"3";"3";"1";"8";"1";"0";"2";"4";"0";"0";"1";"1";"3";"6";"3";"3";"0";"4";"1";"1";"5";"2"
;;"18";"van Vuuren, C.H.";"31";"0";"1";"3";"2";"3";"0";"3";"0";"2";"3";"0";"0";"0";"2";"0";"0";"1";"3";"0";"1";"3";"1";"1";"2";"0"
;;"19";"van der Meer, S.";"181";"4";"1";"13";"2";"1";"3";"38";"1";"1";"5";"0";"1";"2";"5";"21";"0";"1";"18";"6";"40";"3";"4";"1";"1";"9"
;;"20";"Stoop, C.J.";"14";"0";"0";"0";"3";"2";"0";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"1";"2";"0";"1";"1";"0";"0"
;;"21";"van Veen, A.";"32";"1";"0";"0";"6";"2";"2";"0";"2";"1";"4";"1";"0";"1";"1";"3";"1";"0";"0";"0";"3";"1";"0";"2";"0";"1"
;;"22";"van Lissum, J.T.M.";"41";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"36";"0";"0";"0"
;;"23";"Stegink, T.W.";"1202";"16";"4";"11";"528";"6";"6";"20";"35";"3";"5";"16";"2";"9";"151";"1";"19";"18";"4";"18";"4";"107";"151";"47";"18";"3"
;;"24";"Huiskamp, F.M.";"73";"1";"2";"1";"2";"7";"22";"0";"4";"4";"2";"5";"3";"0";"1";"0";"1";"4";"2";"0";"0";"8";"2";"1";"1";"0"
;;"25";"Eppink, D.J.";"63";"0";"0";"1";"5";"4";"4";"8";"1";"1";"6";"0";"0";"1";"7";"0";"5";"0";"5";"2";"3";"4";"3";"0";"3";"0"
;;"26";"Hankers, H.F.";"14";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"2";"4";"1";"1";"1";"1";"0";"0";"0"
;;"27";"Berghout, N.C.G.";"7";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0";"0";"2";"0";"0";"0";"0"
;;"28";"Roubos, G.L.";"5";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0"
;;"29";"Evers, G.J.A.";"214";"6";"1";"6";"0";"1";"2";"14";"31";"0";"11";"3";"0";"5";"4";"0";"0";"5";"97";"4";"4";"0";"6";"3";"4";"7"
;;"30";"Sijbolts, M.A.";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"2";"1";"1";"0";"0";"0";"0";"0";"0"
;;"31";"Poppe, W.P.";"7";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"2";"0";"0";"0"
;;"32";"Swaag, J.H.";"3";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"33";"Waalkens, D.E.";"35";"1";"1";"0";"0";"0";"1";"7";"1";"0";"0";"0";"0";"1";"2";"3";"4";"0";"0";"7";"0";"1";"0";"1";"5";"0"
;;"34";"de Ridder, R.J.G.";"13";"3";"0";"1";"0";"1";"0";"0";"1";"0";"2";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0"
;;"35";"Jaspers, W.C.P.H.";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"36";"Floors, G.W.C.";"46";"0";"0";"0";"25";"0";"0";"2";"3";"2";"1";"1";"0";"2";"5";"0";"0";"1";"1";"0";"0";"1";"0";"2";"0";"0"
;;"37";"Luitwieler-Bosma, J.M.";"150";"2";"0";"1";"0";"0";"1";"5";"1";"1";"3";"2";"3";"1";"0";"1";"0";"1";"3";"3";"114";"2";"0";"0";"6";"0"
;;"38";"Rood, I.";"16";"2";"0";"2";"2";"2";"0";"1";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"1"
;;"39";"van Noort, M.";"15";"0";"0";"1";"0";"0";"1";"2";"0";"0";"5";"0";"1";"1";"0";"0";"0";"0";"2";"0";"2";"0";"0";"0";"0";"0"
;;"40";"Cromwijk, J.";"8";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"0";"0";"1"
;;"41";"van Wijk, J.W.";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0"
;;"42";"Bos-Zandstra, K.J.";"9";"0";"0";"0";"1";"0";"0";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"2";"0";"0";"0"
;;"43";"Egelmeers, P.C.J.M.";"8";"0";"0";"0";"1";"0";"1";"2";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0"
;;"44";"Baltus, A.W.M.";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"45";"van der Wereld-Verkerk, P.C.";"8";"2";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1"
;;"46";"Schoone, L.";"12";"0";"0";"0";"7";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0"
;;"47";"Spätgens, J.M.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"48";"Zeedzen, D.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"49";"Hartholt, J.J.G.";"114";"1";"0";"6";"2";"0";"0";"5";"8";"0";"1";"0";"0";"2";"66";"0";"0";"0";"9";"2";"1";"0";"0";"11";"0";"0"
;;"50";"Winkels, S.H.";"284";"8";"0";"8";"100";"6";"7";"10";"9";"6";"7";"4";"2";"4";"20";"1";"5";"12";"8";"4";"5";"17";"25";"11";"3";"2"
"16";"BIJ1";;;"1347";"77";"14";"15";"193";"278";"12";"24";"31";"113";"49";"9";"13";"9";"25";"6";"1";"7";"351";"14";"37";"13";"22";"24";"5";"5"
;;"1";"Olf, E.M.";"425";"22";"8";"8";"52";"82";"2";"4";"17";"38";"16";"4";"4";"4";"11";"3";"1";"2";"101";"6";"16";"2";"10";"9";"1";"2"
;;"2";"Mc Cray, L.";"339";"22";"0";"6";"50";"64";"5";"7";"6";"25";"13";"0";"2";"2";"5";"2";"0";"2";"94";"5";"10";"5";"4";"6";"2";"2"
;;"3";"Salmi, L.";"105";"8";"0";"1";"20";"24";"1";"1";"3";"10";"2";"0";"1";"0";"0";"0";"0";"0";"30";"0";"1";"1";"1";"1";"0";"0"
;;"4";"Courtar, G.O.";"38";"4";"4";"0";"3";"7";"0";"1";"0";"3";"2";"2";"1";"0";"1";"0";"0";"0";"6";"0";"1";"0";"2";"1";"0";"0"
;;"5";"de Miranda, E.N.";"43";"1";"0";"0";"2";"11";"1";"2";"1";"3";"0";"0";"1";"0";"2";"0";"0";"0";"18";"0";"1";"0";"0";"0";"0";"0"
;;"6";"Berend, C.E.W.R.";"119";"8";"0";"0";"17";"25";"2";"3";"2";"13";"4";"1";"0";"2";"3";"0";"0";"1";"33";"2";"0";"2";"1";"0";"0";"0"
;;"7";"Luhrs, Y.";"12";"0";"0";"0";"2";"1";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"5";"0";"0";"0";"1";"0";"0";"0"
;;"8";"Gal, Y.";"11";"2";"0";"0";"2";"2";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0"
;;"9";"ten Caat, J.";"15";"1";"0";"0";"0";"1";"0";"3";"0";"1";"2";"1";"1";"0";"0";"0";"0";"0";"3";"0";"2";"0";"0";"0";"0";"0"
;;"10";"Zandee, J.I.N.";"55";"0";"0";"0";"9";"13";"0";"0";"0";"2";"5";"1";"0";"0";"0";"0";"0";"1";"16";"1";"1";"0";"1";"4";"0";"1"
;;"11";"Bakker, D.L.";"4";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"12";"Wienen, R.D.";"39";"1";"1";"0";"5";"9";"1";"1";"1";"4";"1";"0";"0";"0";"0";"0";"0";"1";"12";"0";"2";"0";"0";"0";"0";"0"
;;"13";"Bijleveld, D.";"68";"6";"1";"0";"14";"22";"0";"0";"0";"6";"1";"0";"0";"0";"0";"0";"0";"0";"11";"0";"1";"2";"1";"1";"2";"0"
;;"14";"Vrede, R.I.";"23";"0";"0";"0";"4";"6";"0";"1";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"8";"0";"0";"1";"0";"0";"0";"0"
;;"15";"Timmer, R.S.Y.";"51";"2";"0";"0";"13";"10";"0";"1";"1";"4";"1";"0";"2";"0";"0";"1";"0";"0";"12";"0";"1";"0";"1";"2";"0";"0"
"17";"Piratenpartij - De Groenen";;;"466";"30";"7";"4";"50";"100";"7";"21";"5";"40";"17";"5";"13";"7";"8";"5";"1";"6";"81";"7";"17";"13";"3";"9";"5";"5"
;;"1";"van Treuren, M.A.";"271";"17";"3";"2";"32";"60";"1";"11";"4";"26";"9";"4";"8";"1";"5";"2";"1";"3";"44";"5";"9";"8";"3";"5";"4";"4"
;;"2";"Sadloe, S.";"77";"3";"2";"0";"8";"22";"2";"4";"1";"7";"6";"0";"1";"2";"0";"0";"0";"1";"11";"1";"3";"1";"0";"2";"0";"0"
;;"3";"van Zwoll, R.M.E.";"31";"2";"0";"0";"3";"3";"2";"2";"0";"1";"0";"0";"1";"1";"1";"3";"0";"0";"9";"0";"2";"1";"0";"0";"0";"0"
;;"4";"Pontier, M.A.";"18";"3";"2";"0";"0";"2";"0";"1";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"6";"0";"0";"0";"0";"0";"0";"0"
;;"5";"Brandsma, W.A.";"4";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"6";"ter Haar, O.H.";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"7";"Zimmerman, H.K.";"9";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"3";"0";"0";"1";"0";"0";"0";"0"
;;"8";"van Rijn, M.P.";"7";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"3";"0";"0";"0";"0";"1";"0";"0"
;;"9";"Berendsen, P.";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"10";"Yadegari, S.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"11";"Pot, A.A.M.";"8";"1";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0"
;;"12";"Werner, D.R.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"13";"van Deijk, D.D.";"3";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"14";"Russchenberg, S.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"15";"Hallegraeff, D.S.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"16";"Bresser, A.C.";"4";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"17";"Abendroth, A.M.";"4";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0"
;;"18";"Darvish-Zadeh, P.";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"19";"Schrama, D.D.";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"20";"Werner-Wafelman, L.S.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"21";"Plesa, B.";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"22";"Bouma, E.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"23";"Bethlehem, C.";"4";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1"
;;"24";"Dekkers, S.A.P.";"3";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"25";"van Nes, T.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"26";"Linnenbank, A.C.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"27";"Braun, P.W.";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"28";"Doting, R.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"29";"Teders, N.B.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"30";"Bakkers, T.F.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"31";"van Gelderen, J.J.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"32";"baron van Till, J.W.J.";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"33";"van Breemen, W.";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"34";"Blaak, M.G.M.H.";"9";"2";"0";"1";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0"
"18";"BVNL / Groep Van Haga";;;"3374";"191";"65";"113";"251";"345";"74";"230";"154";"218";"151";"70";"78";"55";"112";"82";"45";"74";"351";"105";"198";"140";"83";"50";"75";"64"
;;"1";"van Haga, W.R.";"2312";"152";"40";"65";"184";"255";"47";"153";"112";"130";"107";"49";"58";"35";"72";"49";"32";"45";"243";"78";"139";"83";"58";"29";"44";"53"
;;"2";"Krol, H.C.M.";"76";"2";"0";"4";"4";"7";"1";"8";"5";"4";"3";"0";"1";"0";"4";"0";"0";"2";"13";"0";"3";"5";"3";"1";"3";"3"
;;"3";"van Keimpema, J.S.";"393";"7";"5";"26";"25";"17";"11";"37";"20";"18";"16";"7";"3";"13";"23";"23";"5";"12";"17";"12";"28";"26";"11";"11";"16";"4"
;;"4";"Dercksen, R.G.J.";"21";"0";"3";"0";"3";"5";"0";"1";"0";"1";"2";"2";"0";"0";"1";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0"
;;"5";"Koopmans - van der Veen, W.J.";"40";"0";"2";"1";"5";"5";"2";"0";"2";"5";"1";"0";"1";"0";"2";"0";"0";"1";"3";"2";"4";"1";"1";"1";"1";"0"
;;"6";"van Aalst, R.R.";"145";"7";"12";"0";"4";"15";"8";"6";"6";"38";"1";"6";"7";"1";"3";"2";"2";"6";"0";"3";"0";"7";"3";"1";"7";"0"
;;"7";"Emons, I.M.A.";"12";"0";"1";"0";"3";"1";"0";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0"
;;"8";"Shahbazi Fishtali, S.";"29";"3";"0";"0";"1";"0";"0";"1";"0";"5";"1";"0";"0";"0";"0";"1";"0";"1";"12";"1";"2";"1";"0";"0";"0";"0"
;;"9";"de Kok, A.";"10";"0";"0";"4";"0";"1";"0";"1";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"10";"van Tellingen, H.P.";"14";"1";"1";"0";"0";"2";"0";"2";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"1";"1";"0";"0";"1";"1";"0"
;;"11";"van der Velden, P.";"3";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"12";"Ramautarsing, Y.J.S.";"8";"1";"0";"1";"0";"3";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"13";"Bosscher, C.J.";"16";"0";"1";"1";"1";"0";"1";"1";"0";"0";"0";"0";"2";"1";"0";"0";"1";"0";"2";"0";"2";"1";"0";"0";"0";"2"
;;"14";"Wijnschenk, H.H.R.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
;;"15";"Hulleman, S.P.X.";"97";"9";"0";"2";"4";"9";"0";"7";"7";"7";"4";"1";"4";"2";"2";"6";"0";"0";"18";"3";"2";"7";"0";"1";"1";"1"
;;"16";"Schuiling, A.";"6";"0";"0";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"17";"van der Veen, T.A.";"7";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0"
;;"18";"Schilder, P.C.J.";"5";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"19";"Vogelzang, S.J.";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"20";"Pestman, R.J.E.";"5";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"1";"0";"0";"0"
;;"21";"Vulders, S.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0"
;;"22";"van der Wiele, D.";"4";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"23";"Brunke, R.L.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"24";"Gorter-de Vos, M.";"11";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"2";"0";"5";"0";"0";"0";"0";"1"
;;"25";"van Dalen, E.H.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"26";"Wiersma, K.J.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0"
;;"27";"van Kassel, P.";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
