"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Den Helder"
"Nummer";;"HSB11"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Alkmaar";"Bergen (NH)";"Castricum";"Edam-Volendam";"Enkhuizen";"Heiloo";"Den Helder";"Hoorn";"Landsmeer";"Medemblik";"Oostzaan";"Opmeer";"Purmerend";"Schagen";"Texel";"Uitgeest";"Zaanstad";"Drechterland";"Stede Broec";"Waterland";"Wormerland";"Koggenland";"Hollands Kroon";"Dijk en Waard"
;;"13";"Rekers, J.D.";"8";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"2";"1";"0";"0";"0";"0";"0";"0"
;;"14";"Hendriks, A.J.";"19";"1";"1";"0";"0";"1";"0";"1";"2";"0";"0";"0";"0";"2";"1";"0";"0";"2";"2";"0";"1";"0";"1";"1";"3"
;;"15";"Govaert, C.A.H.M.";"28";"2";"0";"1";"0";"1";"1";"4";"0";"0";"3";"0";"0";"1";"1";"1";"0";"4";"4";"0";"0";"0";"1";"3";"1"
;;"16";"van Vliet, L.R.";"6";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0"
;;"17";"Hemmen, H.M.";"36";"2";"0";"3";"0";"0";"2";"0";"1";"0";"1";"0";"0";"3";"2";"0";"1";"18";"2";"0";"0";"0";"1";"0";"0"
;;"18";"van Vuuren, C.H.";"12";"2";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"4";"1"
;;"19";"van der Meer, S.";"18";"0";"1";"1";"1";"0";"1";"2";"1";"0";"2";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"1";"1";"4"
;;"20";"Stoop, C.J.";"20";"2";"1";"0";"0";"1";"0";"3";"0";"0";"1";"0";"0";"1";"2";"0";"0";"2";"1";"0";"0";"1";"0";"2";"3"
;;"21";"van Veen, A.";"28";"3";"1";"0";"0";"1";"1";"4";"1";"0";"3";"1";"0";"1";"1";"5";"0";"1";"0";"0";"0";"0";"0";"5";"0"
;;"22";"van Lissum, J.T.M.";"22";"1";"1";"0";"0";"5";"0";"0";"1";"0";"0";"0";"2";"1";"1";"0";"0";"5";"1";"0";"0";"0";"0";"0";"4"
;;"23";"Stegink, T.W.";"21";"4";"0";"0";"0";"0";"0";"1";"1";"0";"5";"0";"0";"2";"0";"0";"0";"0";"1";"0";"4";"0";"0";"0";"3"
;;"24";"Huiskamp, F.M.";"11";"4";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2"
;;"25";"Eppink, D.J.";"16";"1";"3";"1";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"3";"0";"1";"0";"1";"1";"1";"1"
;;"26";"Hankers, H.F.";"10";"0";"0";"0";"1";"1";"2";"0";"0";"0";"2";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1"
;;"27";"Berghout, N.C.G.";"3";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"28";"Roubos, G.L.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1"
;;"29";"Evers, G.J.A.";"3";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"30";"Sijbolts, M.A.";"8";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1"
;;"31";"Poppe, W.P.";"10";"3";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"32";"Swaag, J.H.";"459";"14";"3";"1";"2";"0";"1";"16";"1";"0";"11";"0";"17";"4";"139";"1";"1";"3";"7";"0";"0";"0";"10";"202";"26"
;;"33";"Waalkens, D.E.";"10";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"1";"1";"0";"0";"0";"0";"0";"0";"3";"0"
;;"34";"de Ridder, R.J.G.";"12";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"1";"0";"3";"0";"0";"1";"1";"1";"1";"0"
;;"35";"Jaspers, W.C.P.H.";"3";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"36";"Floors, G.W.C.";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"37";"Luitwieler-Bosma, J.M.";"9";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"2";"0";"2";"0";"1";"0";"0";"0";"1";"0"
;;"38";"Rood, I.";"88";"13";"2";"13";"0";"0";"2";"4";"1";"0";"3";"1";"0";"2";"3";"0";"3";"19";"3";"1";"1";"0";"2";"1";"14"
;;"39";"van Noort, M.";"12";"1";"0";"0";"0";"0";"0";"0";"4";"0";"1";"0";"0";"2";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"1"
;;"40";"Cromwijk, J.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"41";"van Wijk, J.W.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"42";"Bos-Zandstra, K.J.";"10";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"3";"1"
;;"43";"Egelmeers, P.C.J.M.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0"
;;"44";"Baltus, A.W.M.";"231";"73";"7";"5";"3";"0";"2";"0";"2";"0";"7";"1";"8";"11";"14";"2";"1";"15";"9";"4";"0";"7";"12";"15";"33"
;;"45";"van der Wereld-Verkerk, P.C.";"10";"2";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2"
;;"46";"Schoone, L.";"59";"4";"2";"2";"0";"0";"1";"3";"0";"0";"0";"0";"0";"2";"27";"1";"0";"2";"0";"1";"1";"0";"2";"6";"5"
;;"47";"Spätgens, J.M.";"4";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0"
;;"48";"Zeedzen, D.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"49";"Lassche, E.";"162";"4";"0";"0";"1";"5";"0";"2";"21";"0";"50";"0";"16";"3";"4";"3";"1";"2";"18";"10";"0";"1";"8";"11";"2"
;;"50";"van der Mark, T.";"251";"25";"0";"6";"11";"1";"4";"5";"4";"7";"7";"3";"0";"73";"11";"2";"2";"10";"6";"8";"15";"4";"22";"14";"11"
"16";"BIJ1";;;"2066";"248";"34";"47";"22";"20";"13";"76";"172";"25";"30";"15";"16";"335";"43";"17";"10";"645";"16";"21";"27";"28";"22";"46";"138"
;;"1";"Olf, E.M.";"862";"95";"14";"16";"9";"8";"7";"36";"71";"13";"9";"6";"6";"151";"18";"5";"3";"291";"5";"6";"13";"9";"9";"18";"44"
;;"2";"Mc Cray, L.";"388";"49";"7";"13";"2";"4";"2";"15";"34";"4";"9";"4";"3";"44";"8";"3";"2";"119";"4";"6";"7";"5";"5";"3";"36"
;;"3";"Salmi, L.";"153";"23";"3";"1";"3";"3";"0";"5";"10";"1";"2";"1";"5";"20";"2";"1";"2";"53";"0";"1";"1";"1";"1";"3";"11"
;;"4";"Courtar, G.O.";"77";"12";"0";"1";"0";"1";"0";"2";"5";"2";"2";"1";"0";"17";"0";"2";"1";"23";"0";"0";"2";"0";"1";"2";"3"
;;"5";"de Miranda, E.N.";"76";"8";"0";"2";"1";"0";"0";"1";"6";"1";"0";"0";"0";"17";"1";"0";"0";"20";"0";"0";"0";"2";"1";"4";"12"
;;"6";"Berend, C.E.W.R.";"138";"22";"1";"5";"1";"2";"2";"4";"10";"0";"2";"1";"0";"19";"3";"1";"0";"38";"1";"5";"0";"1";"3";"8";"9"
;;"7";"Luhrs, Y.";"80";"2";"0";"4";"1";"1";"0";"1";"9";"3";"1";"2";"1";"15";"5";"0";"0";"22";"2";"0";"1";"4";"1";"1";"4"
;;"8";"Gal, Y.";"14";"2";"0";"1";"0";"0";"0";"3";"1";"0";"1";"0";"0";"2";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"2"
;;"9";"ten Caat, J.";"10";"1";"1";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"1";"0";"1";"0";"0"
;;"10";"Zandee, J.I.N.";"27";"5";"0";"1";"2";"0";"1";"1";"0";"0";"0";"0";"0";"1";"2";"0";"0";"7";"0";"0";"0";"1";"0";"1";"5"
;;"11";"Bakker, D.L.";"25";"2";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"11";"0";"0";"0";"9";"0";"0";"0";"0";"0";"0";"1"
;;"12";"Wienen, R.D.";"36";"5";"1";"2";"0";"1";"0";"1";"8";"0";"0";"0";"0";"5";"1";"1";"0";"7";"2";"0";"0";"0";"0";"1";"1"
;;"13";"Bijleveld, D.";"58";"9";"4";"0";"2";"0";"0";"1";"5";"1";"1";"0";"0";"8";"1";"1";"0";"14";"1";"1";"1";"1";"0";"2";"5"
;;"14";"Vrede, R.I.";"75";"5";"2";"1";"0";"0";"0";"1";"8";"0";"2";"0";"1";"19";"0";"3";"0";"22";"0";"1";"1";"3";"0";"1";"5"
;;"15";"Timmer, R.S.Y.";"47";"8";"1";"0";"1";"0";"1";"3";"2";"0";"1";"0";"0";"5";"2";"0";"1";"17";"1";"1";"0";"1";"0";"2";"0"
"17";"Piratenpartij - De Groenen";;;"775";"101";"21";"24";"14";"14";"8";"53";"72";"8";"35";"3";"7";"72";"49";"9";"8";"118";"9";"15";"12";"12";"20";"29";"62"
;;"1";"van Treuren, M.A.";"403";"64";"13";"12";"6";"9";"3";"25";"33";"2";"19";"1";"3";"25";"32";"3";"3";"55";"4";"11";"6";"5";"13";"21";"35"
;;"2";"Sadloe, S.";"154";"15";"6";"4";"6";"3";"3";"8";"16";"1";"5";"0";"0";"34";"6";"4";"0";"20";"3";"2";"2";"4";"3";"2";"7"
;;"3";"van Zwoll, R.M.E.";"30";"4";"1";"2";"1";"1";"1";"2";"4";"0";"0";"0";"0";"1";"0";"1";"0";"7";"0";"0";"1";"1";"0";"1";"2"
;;"4";"Pontier, M.A.";"15";"1";"0";"1";"0";"0";"0";"0";"3";"1";"2";"0";"1";"0";"0";"0";"1";"2";"0";"1";"0";"0";"0";"0";"2"
;;"5";"Brandsma, W.A.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0"
;;"6";"ter Haar, O.H.";"4";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2"
;;"7";"Zimmerman, H.K.";"26";"5";"0";"2";"0";"0";"1";"0";"2";"1";"3";"0";"0";"1";"2";"0";"0";"2";"0";"0";"1";"0";"1";"1";"4"
;;"8";"van Rijn, M.P.";"11";"1";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"2"
;;"9";"Berendsen, P.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0"
;;"10";"Yadegari, S.";"13";"0";"0";"0";"1";"0";"0";"1";"0";"1";"1";"0";"0";"0";"1";"0";"0";"7";"0";"0";"0";"0";"0";"1";"0"
;;"11";"Pot, A.A.M.";"28";"2";"0";"0";"0";"0";"0";"14";"0";"0";"2";"1";"1";"0";"3";"0";"1";"1";"0";"0";"0";"0";"0";"2";"1"
;;"12";"Werner, D.R.";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"13";"van Deijk, D.D.";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"14";"Russchenberg, S.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0"
;;"15";"Hallegraeff, D.S.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"16";"Bresser, A.C.";"2";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"17";"Abendroth, A.M.";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"2"
;;"18";"Darvish-Zadeh, P.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"19";"Schrama, D.D.";"4";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"20";"Werner-Wafelman, L.S.";"7";"1";"0";"0";"0";"0";"0";"0";"3";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"21";"Plesa, B.";"3";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0"
;;"22";"Bouma, E.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"23";"Bethlehem, C.";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"24";"Dekkers, S.A.P.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"25";"van Nes, T.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"26";"Linnenbank, A.C.";"15";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2";"11";"0";"0";"0";"0";"0";"0";"0"
;;"27";"Braun, P.W.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"28";"Doting, R.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"29";"Teders, N.B.";"7";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"30";"Bakkers, T.F.M.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"31";"van Gelderen, J.J.";"2";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"32";"baron van Till, J.W.J.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1"
;;"33";"van Breemen, W.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"34";"Blaak, M.G.M.H.";"19";"3";"1";"0";"0";"0";"0";"1";"4";"0";"0";"0";"1";"2";"0";"0";"0";"4";"0";"0";"1";"0";"0";"0";"2"
"18";"BVNL / Groep Van Haga";;;"4346";"456";"155";"140";"183";"74";"101";"247";"283";"39";"173";"65";"77";"330";"244";"80";"60";"534";"97";"86";"65";"55";"121";"291";"390"
;;"1";"van Haga, W.R.";"3202";"341";"125";"105";"107";"55";"76";"185";"223";"29";"132";"46";"56";"253";"184";"64";"38";"414";"77";"61";"41";"48";"78";"200";"264"
;;"2";"Krol, H.C.M.";"115";"6";"2";"8";"3";"7";"3";"9";"8";"1";"4";"3";"1";"15";"9";"1";"1";"14";"2";"2";"1";"1";"2";"6";"6"
;;"3";"van Keimpema, J.S.";"291";"27";"12";"8";"7";"6";"5";"13";"13";"4";"15";"4";"9";"23";"17";"5";"4";"31";"6";"9";"10";"2";"11";"32";"18"
;;"4";"Dercksen, R.G.J.";"8";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"2";"1"
;;"5";"Koopmans - van der Veen, W.J.";"73";"9";"0";"1";"2";"2";"1";"1";"8";"0";"3";"1";"1";"5";"3";"3";"1";"11";"4";"4";"1";"1";"4";"4";"3"
;;"6";"van Aalst, R.R.";"4";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
;;"7";"Emons, I.M.A.";"32";"8";"1";"1";"1";"1";"1";"1";"0";"0";"0";"1";"0";"4";"2";"1";"1";"3";"1";"0";"0";"0";"2";"1";"2"
;;"8";"Shahbazi Fishtali, S.";"35";"6";"0";"4";"1";"0";"0";"0";"1";"1";"0";"2";"0";"1";"1";"0";"0";"8";"0";"3";"2";"0";"1";"1";"3"
;;"9";"de Kok, A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"10";"van Tellingen, H.P.";"22";"3";"0";"1";"0";"0";"2";"1";"1";"0";"0";"0";"0";"2";"1";"1";"0";"4";"0";"0";"0";"0";"1";"4";"1"
;;"11";"van der Velden, P.";"7";"0";"0";"0";"0";"1";"0";"5";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"12";"Ramautarsing, Y.J.S.";"8";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"2"
;;"13";"Bosscher, C.J.";"150";"19";"4";"1";"0";"1";"1";"7";"5";"0";"5";"0";"4";"6";"7";"0";"0";"9";"0";"0";"3";"0";"7";"14";"57"
;;"14";"Wijnschenk, H.H.R.";"6";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0"
;;"15";"Hulleman, S.P.X.";"122";"17";"6";"4";"4";"1";"5";"11";"4";"1";"6";"1";"3";"7";"6";"2";"1";"11";"0";"3";"1";"1";"4";"9";"14"
;;"16";"Schuiling, A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"17";"van der Veen, T.A.";"6";"0";"0";"0";"1";"0";"1";"1";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"18";"Schilder, P.C.J.";"68";"1";"0";"0";"40";"0";"0";"1";"6";"0";"0";"1";"0";"5";"1";"0";"0";"1";"2";"0";"3";"0";"1";"5";"1"
;;"19";"Vogelzang, S.J.";"4";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"20";"Pestman, R.J.E.";"4";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"21";"Vulders, S.";"3";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"22";"van der Wiele, D.";"3";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"23";"Brunke, R.L.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"24";"Gorter-de Vos, M.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0"
;;"25";"van Dalen, E.H.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"26";"Wiersma, K.J.";"3";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"27";"van Kassel, P.";"3";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"28";"Wymenga-Kooistra, G.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0"
;;"29";"Jonk, S.J.M.";"21";"0";"0";"0";"16";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0"
;;"30";"Zuidema, C.";"6";"1";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"31";"van der Meeren, C.J.R.F.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"32";"Mensing, C.M.";"6";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0"
;;"33";"Durlacher, F.";"4";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"34";"Dienjes, C.S.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"35";"de Bekker, M.A.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"36";"Laarhoven, E.L.O.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"37";"Eradus, R.F.E.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"38";"Westhoff, R.J.H.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"39";"Beverloo, M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"40";"van Buuren, M.J.";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"41";"Overeem, A.C.";"65";"4";"1";"3";"1";"0";"2";"2";"3";"1";"2";"2";"0";"3";"6";"1";"2";"10";"3";"1";"1";"1";"3";"4";"9"
;;"42";"Thiessens, F.B.M.";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"43";"Brouwer, A.";"5";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0"
;;"44";"Manders, T.T.A.J.";"20";"2";"0";"2";"0";"0";"2";"0";"0";"1";"0";"2";"0";"1";"0";"0";"6";"2";"0";"0";"0";"0";"0";"1";"1"
;;"45";"Filippini, L.T.C.";"5";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0"
;;"46";"Verweij, D.W.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1"
;;"47";"Elens, R.B.";"19";"3";"1";"0";"0";"0";"0";"1";"1";"0";"2";"0";"0";"0";"3";"1";"0";"3";"0";"0";"1";"1";"0";"2";"0"
;;"48";"Rolloos, M.A.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"49";"Talsma, J.";"5";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"1"
;;"50";"Smolders, H.A.J.";"6";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3"
"19";"Nieuw Sociaal Contract";;;"73081";"7515";"2340";"3148";"2469";"1509";"1971";"3638";"5173";"676";"3680";"591";"1044";"5908";"3849";"1290";"1162";"8950";"1612";"1791";"1172";"1302";"1884";"3708";"6699"
;;"1";"Omtzigt, P.H.";"66964";"6744";"2164";"2828";"2304";"1396";"1780";"3425";"4634";"613";"3416";"533";"961";"5423";"3568";"1170";"1062";"8215";"1483";"1660";"1086";"1198";"1728";"3454";"6119"
;;"2";"van Vroonhoven-Kok, J.N.";"2927";"357";"80";"143";"87";"61";"85";"90";"283";"31";"127";"21";"44";"236";"143";"63";"48";"331";"56";"68";"42";"45";"62";"137";"287"
;;"3";"Uitermark, J.J.M.";"877";"113";"28";"56";"22";"13";"33";"35";"62";"11";"36";"9";"14";"64";"40";"15";"12";"98";"19";"7";"11";"11";"35";"36";"97"
;;"4";"Veldkamp, C.C.J.";"141";"16";"6";"9";"4";"5";"2";"3";"14";"2";"10";"0";"1";"9";"7";"2";"0";"20";"2";"2";"1";"5";"7";"8";"6"
;;"5";"Palmen-Schlangen, S.T.P.H.";"405";"59";"13";"24";"7";"6";"13";"15";"33";"3";"23";"7";"8";"30";"7";"6";"8";"48";"15";"11";"6";"10";"12";"11";"30"
