"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Haarlem"
"Nummer";;"HSB10"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Aalsmeer";"Amstelveen";"Beverwijk";"Blaricum";"Bloemendaal";"Diemen";"Haarlem";"Haarlemmermeer";"Heemskerk";"Heemstede";"Hilversum";"Huizen";"Laren";"Ouder-Amstel";"Uithoorn";"Velsen";"Zandvoort";"Wijdemeren";"Gooise Meren"
;;"21";"Hollander, J.";"113";"3";"8";"4";"1";"4";"5";"25";"14";"4";"3";"12";"3";"0";"1";"3";"9";"1";"5";"8"
;;"22";"ten Dolle, L.";"82";"5";"5";"3";"0";"2";"2";"16";"8";"7";"3";"11";"2";"0";"0";"2";"10";"0";"2";"4"
;;"23";"Blommers, D.";"102";"2";"11";"1";"1";"7";"2";"23";"12";"1";"4";"9";"3";"0";"1";"3";"7";"1";"0";"14"
;;"24";"van Breugel, C.";"180";"0";"17";"3";"2";"3";"3";"41";"32";"4";"8";"20";"9";"2";"8";"5";"7";"0";"5";"11"
;;"25";"Teunissen, J.C.M.";"14";"0";"2";"1";"0";"0";"0";"3";"1";"0";"1";"2";"0";"0";"0";"0";"1";"0";"0";"3"
;;"26";"Çimen, M.";"586";"6";"9";"7";"0";"18";"1";"391";"47";"8";"37";"7";"0";"0";"3";"1";"44";"5";"1";"1"
;;"27";"Oualhadj, A.";"53";"1";"5";"0";"0";"1";"1";"18";"7";"0";"2";"6";"1";"0";"0";"0";"4";"1";"1";"5"
;;"28";"Putuhena, M.";"23";"0";"3";"1";"0";"0";"2";"2";"4";"1";"0";"2";"2";"0";"1";"1";"3";"0";"0";"1"
;;"29";"Keij, E.J.";"22";"0";"0";"0";"0";"0";"0";"5";"5";"2";"1";"2";"0";"1";"0";"1";"1";"0";"0";"4"
;;"30";"Brink, V.J.";"42";"0";"5";"0";"0";"3";"0";"11";"4";"1";"0";"11";"2";"0";"1";"0";"2";"0";"1";"1"
;;"31";"van Dorst, P.A.";"13";"2";"1";"0";"0";"0";"1";"2";"1";"0";"0";"2";"2";"1";"0";"0";"0";"0";"0";"1"
;;"32";"Wijnja, G.H.";"11";"1";"1";"0";"1";"0";"0";"2";"2";"1";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0"
;;"33";"de Vries, M.M.";"25";"0";"4";"2";"0";"1";"0";"3";"3";"2";"0";"2";"0";"0";"0";"2";"2";"1";"0";"3"
