"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Haarlem"
"Nummer";;"HSB10"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Aalsmeer";"Amstelveen";"Beverwijk";"Blaricum";"Bloemendaal";"Diemen";"Haarlem";"Haarlemmermeer";"Heemskerk";"Heemstede";"Hilversum";"Huizen";"Laren";"Ouder-Amstel";"Uithoorn";"Velsen";"Zandvoort";"Wijdemeren";"Gooise Meren"
;;"47";"Elens, R.B.";"14";"0";"2";"1";"0";"0";"0";"5";"2";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"1"
;;"48";"Rolloos, M.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"49";"Talsma, J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"50";"Smolders, H.A.J.";"5";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"19";"Nieuw Sociaal Contract";;;"61025";"2411";"4935";"2578";"908";"1466";"1454";"8367";"10748";"3123";"1665";"5208";"3307";"687";"876";"2137";"4569";"1138";"1985";"3463"
;;"1";"Omtzigt, P.H.";"53907";"2166";"4405";"2392";"831";"1296";"1286";"7197";"9522";"2836";"1455";"4342";"2958";"628";"770";"1925";"4074";"1040";"1762";"3022"
;;"2";"van Vroonhoven-Kok, J.N.";"3092";"98";"215";"72";"42";"47";"57";"374";"332";"139";"73";"634";"218";"31";"45";"89";"181";"38";"161";"246"
;;"3";"Uitermark, J.J.M.";"1703";"50";"63";"39";"6";"60";"10";"439";"562";"48";"75";"34";"22";"7";"9";"28";"167";"34";"16";"34"
;;"4";"Veldkamp, C.C.J.";"151";"5";"14";"5";"2";"4";"1";"20";"31";"10";"5";"11";"3";"2";"6";"5";"11";"2";"4";"10"
;;"5";"Palmen-Schlangen, S.T.P.H.";"349";"20";"33";"12";"2";"6";"10";"54";"51";"21";"7";"26";"21";"3";"8";"21";"20";"3";"5";"26"
;;"6";"van Hijum, Y.J.";"40";"5";"2";"1";"1";"0";"1";"6";"6";"1";"0";"3";"2";"0";"0";"2";"5";"0";"2";"3"
;;"7";"Soepboer, A.J.";"136";"8";"11";"5";"2";"2";"5";"24";"14";"7";"7";"18";"4";"1";"1";"2";"13";"1";"4";"7"
;;"8";"Joseph, A.S.";"139";"5";"7";"3";"1";"3";"3";"12";"21";"8";"6";"22";"13";"2";"3";"5";"7";"1";"5";"12"
;;"9";"Six Dijkstra, J.P.S.";"69";"3";"9";"6";"1";"3";"1";"12";"11";"2";"1";"7";"3";"0";"1";"3";"2";"1";"1";"2"
;;"10";"Welzijn, R.M.";"122";"4";"14";"1";"0";"1";"5";"26";"20";"6";"1";"5";"8";"0";"3";"5";"12";"5";"1";"5"
;;"11";"Postma, W.L.";"54";"0";"7";"3";"0";"2";"1";"10";"8";"3";"3";"5";"1";"0";"1";"2";"4";"0";"0";"4"
;;"12";"Zeedijk-Raeven, F.A.";"45";"3";"6";"2";"0";"0";"3";"9";"8";"1";"0";"1";"1";"0";"0";"1";"5";"2";"1";"2"
;;"13";"Idsinga, F.L.";"46";"2";"6";"2";"1";"2";"1";"7";"7";"3";"2";"0";"1";"0";"2";"4";"3";"0";"1";"2"
;;"14";"Jansen, D.E.M.C.";"50";"2";"6";"3";"0";"3";"3";"6";"5";"3";"2";"3";"2";"0";"1";"2";"5";"2";"0";"2"
;;"15";"van Oostenbruggen, T.";"16";"2";"4";"0";"0";"1";"0";"1";"4";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"1"
;;"16";"Kahraman, I.";"78";"5";"15";"3";"1";"1";"20";"9";"14";"0";"0";"4";"0";"0";"0";"3";"0";"1";"0";"2"
;;"17";"Hertzberger, R.Y.";"277";"7";"37";"5";"11";"20";"8";"42";"23";"3";"11";"26";"11";"4";"9";"9";"11";"2";"5";"33"
;;"18";"Bruyning, F.H.";"49";"1";"4";"1";"1";"0";"8";"10";"9";"0";"2";"2";"2";"0";"1";"1";"2";"1";"2";"2"
;;"19";"van Dijk, O.C.";"15";"1";"0";"0";"0";"0";"0";"6";"1";"0";"0";"3";"0";"0";"0";"0";"3";"0";"0";"1"
;;"20";"Holman, H.";"9";"0";"1";"0";"0";"0";"0";"3";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2"
;;"21";"Boomsma, D.T.";"124";"1";"14";"4";"1";"5";"7";"23";"10";"3";"4";"4";"7";"3";"7";"6";"7";"0";"1";"17"
;;"22";"Heite, A.";"75";"2";"9";"3";"0";"5";"2";"11";"11";"4";"4";"9";"2";"0";"1";"3";"4";"0";"1";"4"
;;"23";"Saris, I.G.";"53";"2";"5";"1";"0";"0";"3";"6";"3";"6";"2";"6";"3";"0";"0";"4";"5";"1";"1";"5"
;;"24";"Wingelaar, N.T.P.";"23";"0";"5";"0";"0";"0";"2";"5";"1";"0";"0";"5";"1";"0";"0";"1";"2";"0";"0";"1"
;;"25";"Koops, W.J.";"20";"2";"1";"0";"1";"0";"2";"2";"2";"1";"1";"4";"0";"1";"0";"0";"0";"0";"0";"3"
;;"26";"Achahbar, N.";"87";"3";"14";"2";"1";"0";"3";"16";"19";"2";"1";"4";"5";"0";"2";"3";"4";"2";"1";"5"
;;"27";"van Waveren, A.";"11";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"3";"1";"3";"0";"0";"0";"0";"0";"1"
;;"28";"de Korte-Verhoef, M.C.";"35";"6";"5";"1";"0";"0";"0";"3";"5";"0";"0";"2";"2";"0";"2";"4";"0";"1";"3";"1"
;;"29";"Boelhouwer, N.P.";"30";"0";"1";"1";"0";"0";"1";"3";"7";"2";"0";"5";"1";"2";"2";"1";"3";"0";"1";"0"
;;"30";"Schouten, M.A.C.";"8";"0";"1";"0";"0";"0";"0";"0";"3";"0";"0";"0";"3";"0";"0";"0";"1";"0";"0";"0"
;;"31";"Kouwenhoven, A.J.";"9";"0";"0";"0";"2";"1";"0";"1";"3";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0"
;;"32";"Verouden, V.C.H.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"33";"Heine, J.A.H.";"2";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"34";"Pouwelse, S.F.W.";"4";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"35";"de Leeuw-Jongejans, M.M.";"6";"0";"1";"1";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0"
;;"36";"Hartog, I.C.";"16";"1";"3";"0";"0";"0";"0";"1";"4";"0";"0";"2";"2";"0";"0";"1";"1";"0";"0";"1"
;;"37";"van Bruchem, R.H.J.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0"
;;"38";"van de Ven, M.A.A.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
;;"39";"de Neijs, E.D.E.";"28";"2";"3";"1";"0";"3";"2";"2";"2";"6";"0";"1";"0";"0";"0";"0";"3";"1";"0";"2"
;;"40";"Hassoo, W.";"28";"0";"2";"1";"0";"0";"2";"5";"4";"1";"0";"5";"0";"0";"0";"0";"4";"0";"2";"2"
;;"41";"Graafland-van Duijn, M.A.";"70";"3";"7";"5";"1";"0";"5";"15";"13";"2";"1";"3";"5";"0";"0";"4";"3";"0";"2";"1"
;;"42";"den Hartogh, A.";"4";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1"
;;"43";"Wessels, R.";"7";"0";"1";"0";"0";"1";"0";"0";"3";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"44";"Geleijnse, S.";"33";"0";"3";"1";"0";"0";"1";"3";"8";"2";"0";"5";"3";"0";"0";"1";"4";"0";"1";"1"
"20";"Splinter";;;"847";"38";"58";"36";"8";"17";"26";"163";"133";"38";"20";"92";"35";"11";"4";"26";"46";"19";"18";"59"
;;"1";"van Kooten-Arissen, F.M.";"623";"22";"43";"26";"6";"12";"22";"120";"97";"24";"13";"68";"29";"9";"3";"18";"35";"11";"13";"52"
;;"2";"Ipenburg, N.";"57";"4";"1";"1";"0";"3";"1";"12";"10";"2";"3";"6";"1";"1";"0";"5";"2";"1";"2";"2"
;;"3";"Bogers, T.J.";"20";"2";"1";"2";"0";"0";"0";"4";"3";"0";"0";"1";"1";"0";"1";"0";"2";"2";"1";"0"
;;"4";"Vos, J.";"21";"0";"0";"0";"1";"0";"0";"3";"2";"0";"1";"9";"1";"0";"0";"0";"0";"2";"0";"2"
;;"5";"Jansma, D.M.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"6";"Mu'ayyed Mir-Damádi, N.";"3";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"7";"Rasenberg, N.E.";"13";"2";"2";"0";"0";"0";"1";"5";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0"
;;"8";"Janssen, P.G.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"9";"van der Weide, Y.";"15";"0";"2";"0";"0";"0";"0";"3";"4";"0";"0";"3";"0";"0";"0";"1";"1";"0";"0";"1"
;;"10";"Wehnes, E.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"11";"de Backer, R.E.";"5";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0"
;;"12";"Hoedeman, A.D.J.";"28";"0";"1";"6";"0";"2";"1";"6";"2";"6";"1";"2";"0";"0";"0";"0";"0";"0";"1";"0"
;;"13";"Rechards, B.P.";"5";"0";"2";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"14";"Weyers, J.A.W.P.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"15";"van Dam, G.A.J.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"16";"Abrahams, J.M.";"3";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"17";"Kuin, D.";"10";"7";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0"
;;"18";"Gerritsen, M.C.G.";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"19";"Leijendekkers, L.S.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"20";"de Ruiter, T.K.";"6";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
;;"21";"Pijnenburg, G.A.J.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"22";"Schot, M.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"23";"Ezendam, N.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"24";"Peeters, L.M.";"8";"1";"0";"0";"0";"0";"0";"2";"3";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1"
;;"25";"de Groot, D.S.";"2";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"26";"van den Heuvel-Łuczycki, M.";"3";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"27";"Bruijstens, P.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"28";"Keizer, M.B.";"7";"0";"0";"0";"0";"0";"0";"0";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"29";"Gol, T.M.L.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"30";"de Koning, T.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"31";"Keyser, I.";"4";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"21";"LP (Libertaire Partij)";;;"263";"6";"26";"20";"2";"2";"9";"47";"31";"6";"7";"33";"9";"1";"4";"10";"12";"5";"10";"23"
;;"1";"van Lamoen, T.J.";"185";"2";"19";"12";"1";"2";"5";"38";"20";"4";"5";"24";"8";"1";"3";"5";"8";"4";"8";"16"
;;"2";"Burggraaf, B.W.";"13";"2";"2";"0";"0";"0";"2";"1";"2";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"1"
;;"3";"Verhagen, P.H.";"10";"0";"1";"3";"0";"0";"0";"2";"2";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"4";"Zijlstra, J.";"4";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1"
;;"5";"Meijer, T.D.J.";"3";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"6";"Huijs, T.";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"7";"Pailer, S.";"21";"1";"0";"2";"0";"0";"1";"4";"3";"1";"0";"3";"0";"0";"1";"1";"0";"1";"0";"3"
;;"8";"Loman, W.P.J.A.";"3";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"9";"van den Brink, G.D.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"10";"Backhuijs, W.Q.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0"
;;"11";"Koopmans, S.F.P.";"4";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"12";"Wassenaar, K.J.";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"13";"Noortman, M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"14";"Visser, P.R.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"15";"Mens, R.W.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"16";"Brokke, M.A.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"17";"Kleinsmit, H.T.J.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"18";"Hartkamp, P.L.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0"
;;"19";"Vermeulen, E.";"7";"1";"0";"0";"0";"0";"0";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"22";"LEF - Voor de Nieuwe Generatie";;;"313";"10";"31";"18";"1";"6";"11";"65";"52";"21";"4";"28";"13";"3";"4";"3";"22";"4";"7";"10"
;;"1";"van Duijn, D.C.";"155";"6";"14";"9";"1";"2";"5";"29";"28";"16";"2";"11";"7";"1";"3";"1";"9";"4";"4";"3"
;;"2";"Zantman, N.M.";"75";"2";"7";"3";"0";"3";"3";"20";"6";"3";"0";"8";"4";"0";"1";"1";"6";"0";"2";"6"
;;"3";"Neijts, Z.V.";"13";"0";"1";"1";"0";"0";"1";"3";"1";"1";"1";"1";"2";"0";"0";"1";"0";"0";"0";"0"
;;"4";"Wijnker, M.I.";"15";"0";"1";"2";"0";"1";"1";"1";"3";"0";"0";"3";"0";"0";"0";"0";"2";"0";"0";"1"
;;"5";"Bloem, J.F.";"8";"0";"2";"0";"0";"0";"0";"2";"0";"1";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0"
;;"6";"van Westerlaak, R.M.G.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0"
;;"7";"van Diest, Y.A.";"9";"1";"3";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"8";"Kherrazi, W.";"4";"0";"1";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"9";"Pont, I.";"6";"1";"1";"2";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"10";"Torres Noordenbos, D.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"11";"Gunning, M.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"12";"Berends, M.C.";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"13";"Pickkers, L.J.";"6";"0";"1";"0";"0";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
;;"14";"Sjiem-Fat, S.D.";"4";"0";"0";"0";"0";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"15";"Hulst, P.W.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"16";"Bijl, L.";"5";"0";"0";"0";"0";"0";"0";"3";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"17";"Twaalfhoven, M.";"5";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0"
;;"18";"Melis, E.M.";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"19";"van Die, B.L.Y.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"20";"van Rooij, M.H.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"23";"Samen voor Nederland";;;"279";"6";"35";"10";"3";"1";"9";"35";"64";"15";"4";"21";"12";"3";"4";"10";"23";"5";"7";"12"
;;"1";"Reijinga, M.";"167";"4";"18";"2";"1";"0";"7";"20";"40";"9";"1";"15";"7";"0";"4";"7";"17";"4";"5";"6"
;;"2";"You-ala, S.";"30";"2";"2";"2";"1";"0";"1";"3";"4";"3";"2";"0";"3";"0";"0";"1";"1";"0";"1";"4"
;;"3";"ten Seldam, W.";"5";"0";"0";"0";"0";"0";"0";"1";"2";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"4";"Olde Kalter, D.H.";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"5";"Verspeek, M.R.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"6";"Huzen, J.";"7";"0";"0";"2";"0";"0";"0";"0";"1";"1";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0"
;;"7";"Buijs, L.J.";"5";"0";"0";"1";"0";"0";"0";"2";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"8";"Vaneker, N.C.";"7";"0";"0";"1";"0";"0";"0";"2";"2";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0"
;;"9";"Kuiper, T.R.M.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"10";"Berndsen, V.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"11";"Bosman, M.";"3";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"12";"van den Berg, D.";"8";"0";"6";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1"
;;"13";"Dekker, C.J.";"3";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"14";"Seijffert-Wubbels, J.M.";"3";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"15";"Korving, R.J.";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"16";"Wagt, B.";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"17";"van der Pluijm, D.L.L.";"5";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0"
;;"18";"Verspeek, M.";"2";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"19";"Ebbers, M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"20";"Timmer, B.";"5";"0";"1";"1";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"21";"Ijben, M.W.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"22";"Bink, S.";"4";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"23";"Roebersen, F.J.";"3";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"24";"Ottenhoff, R.S.A.";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"25";"Honders, A.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"26";"Huijing, A.A.";"2";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"27";"Heesterman, E.";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"28";"Zwijnenburg, E.J.";"6";"0";"0";"0";"0";"0";"0";"2";"2";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0"
"24";"Nederland met een PLAN";;;"389";"12";"52";"17";"1";"0";"15";"57";"65";"15";"4";"44";"17";"8";"5";"10";"42";"4";"1";"20"
;;"1";"Chan, K.K.";"244";"8";"38";"10";"1";"0";"11";"39";"39";"12";"2";"22";"12";"5";"2";"7";"20";"3";"0";"13"
;;"2";"Hogeweg, M.Y.";"50";"4";"5";"3";"0";"0";"0";"4";"12";"2";"1";"5";"2";"3";"0";"2";"7";"0";"0";"0"
;;"3";"Groeneveld, R.M.";"7";"0";"0";"0";"0";"0";"2";"1";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0"
;;"4";"Bouwman, A.K.";"3";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"5";"Lutgens, S.I.";"5";"0";"2";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"6";"Bakker, R.";"2";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"7";"Dong, L.";"16";"0";"4";"1";"0";"0";"0";"0";"2";"0";"0";"5";"0";"0";"1";"0";"1";"1";"0";"1"
;;"8";"Riley, M.L.H.";"10";"0";"2";"1";"0";"0";"1";"0";"0";"0";"0";"3";"0";"0";"0";"1";"0";"0";"0";"2"
;;"9";"Chan, S.S.";"7";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0"
;;"10";"Cai, Y.";"19";"0";"0";"1";"0";"0";"1";"3";"1";"0";"0";"2";"0";"0";"1";"0";"6";"0";"0";"4"
;;"11";"Bosch, D.M.I.T.M.G.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"12";"Fan, W.";"10";"0";"0";"0";"0";"0";"0";"6";"1";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
;;"13";"Adolfse, V.W.M.M.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"14";"Cao, X.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"15";"Lee, C.Y.";"2";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"16";"Aabidi, M.";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"17";"Chang, M.J.P.L.";"11";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"3";"0";"0";"1";"0";"3";"0";"0";"0"
"25";"PartijvdSport";;;"401";"14";"40";"29";"4";"15";"9";"54";"58";"16";"10";"31";"16";"3";"4";"14";"38";"10";"9";"27"
;;"1";"van Duivenboden, A.M.C.J.";"243";"7";"22";"17";"3";"12";"7";"31";"41";"10";"8";"16";"10";"3";"1";"6";"23";"5";"7";"14"
;;"2";"van der Smissen, A.J.P.W.A.";"12";"0";"0";"1";"0";"0";"0";"1";"1";"1";"0";"2";"1";"0";"0";"0";"2";"0";"1";"2"
;;"3";"van Brussel, D.";"8";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"3";"1";"0";"0";"0";"0";"1";"0";"1"
;;"4";"Liefers, G.J.";"25";"2";"2";"1";"0";"0";"0";"4";"4";"2";"0";"3";"1";"0";"0";"1";"1";"1";"0";"3"
;;"5";"Ladeur, W.H.M.";"4";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
